question,query,matched_contents,generated_query
List the names of all property owners.,"SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name 
FROM catastici",None,"['SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT DISTINCT catastici.Owner_First_Name\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;']"
"How many properties are there with the type of ""casa""?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Type = 'casa';","""Property_Type"" = ""casa""","[""SELECT COUNT(catastici.Property_ID) \nFROM catastici \nWHERE catastici.Property_Type = 'casa';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", 'SELECT catastici.Property_Type, COUNT(catastici.Property_ID) AS ""Number_of_casa_properties""\nFROM catastici\nWHERE catastici.Property_Type = \'casa\'\nGROUP BY catastici.Property_Type;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', ""SELECT COUNT(catastici.Property_ID)\nFROM catastici\nWHERE catastici.Property_Type = 'casa';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT COUNT(catastici.Property_ID) \nFROM catastici \nWHERE catastici.Property_Type = 'casa';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text ) , catastici.Property_ID ( integer )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;""]"
"Which property types are present in ""calle di santa cattarina principia alle fondamenta nove""?","SELECT DISTINCT catastici.Property_Type 
FROM catastici 
WHERE catastici.Property_Location = 'calle di santa cattarina principia alle fondamenta nove';","""Property_Location"" = ""calle di santa cattarina principia alle fondamenta nove""","[""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'calle di santa cattarina principia alle fondamenta nove';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'calle di santa cattarina principia alle fondamenta nove';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text ) ]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'calle di santa cattarina principia alle fondamenta nove';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text ) , catastici.Property_ID ( integer )]\ncolumns info :\nID -- Primary key ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'calle di santa cattarina principia alle fondamenta nove';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\nprimary key :\ncatastici.ID\ncolumns info :\nID -- Primary key ; ;""]"
"What is the total number of ""casa in soler"" properties?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Type = 'casa in soler';","""Property_Type"" = ""casa in soler""","[""SELECT COUNT(catastici.Property_ID) \nFROM catastici \nWHERE catastici.Property_Type = 'casa in soler';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT COUNT(catastici.Property_ID)\nFROM catastici\nWHERE catastici.Property_Type = 'casa in soler';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", 'SELECT COUNT(catastici.Property_ID) AS ""Number_of_casa_in_soler_properties""\nFROM catastici\nWHERE catastici.Property_Type = \'casa in soler\';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', ""SELECT COUNT(catastici.Property_ID) \nFROM catastici \nWHERE catastici.Property_Type = 'casa in soler';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text ) , catastici.Property_ID ( integer )]\ncolumns info :\nID -- Primary key ; ; ;""]"
How many unique property locations are there in the dataset?,SELECT COUNT(DISTINCT catastici.Property_Location) AS num_locations FROM catastici;,None,"['SELECT COUNT(DISTINCT catastici.Property_Location) AS unique_locations\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT COUNT(DISTINCT catastici.Property_Location) AS unique_property_locations\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT COUNT(DISTINCT catastici.Property_Location) AS Unique_Locations\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;', 'SELECT COUNT(DISTINCT catastici.Property_Location) AS unique_properties\nFROM catastici;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;']"
Who own properties in more than one location?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name
HAVING COUNT(DISTINCT catastici.Property_Location) > 1;",None,"['SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, COUNT(DISTINCT catastici.Property_Location) AS num_locations\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici \nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name \nHAVING COUNT(DISTINCT catastici.Property_Location) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Location) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;']"
How many owners have more than one type of property?,"SELECT COUNT(*) AS num_owners_with_multiple_properties
FROM (SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name
HAVING COUNT(DISTINCT catastici.Property_Type) > 1) AS owners_with_multiple_properties;",None,"['SELECT COUNT(*)\nFROM (\nSELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici \nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name \nHAVING COUNT(DISTINCT catastici.Property_Type) > 1\n) AS owners_with_multiple_properties;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT COUNT(*)\nFROM (\nSELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Property_Type\nFROM catastici \nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Property_Type \nHAVING COUNT(DISTINCT catastici.Property_Type) > 1\n) AS owners_with_multiple_properties;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;', 'SELECT COUNT(*)\nFROM (\nSELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name\nHAVING COUNT(DISTINCT catastici.Property_Type) > 1\n) AS owners_with_multiple_properties;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;', 'SELECT COUNT(*)\nFROM (\nSELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Property_Type\nFROM catastici\nGROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Property_Type\nHAVING COUNT(DISTINCT catastici.Property_Type) > 1\n) AS owners_with_multiple_properties;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ;']"
"Are there properties of the same type in ""loco vicino la calle del paradiso"" owned by different families?","SELECT catastici.Property_Type, COUNT(DISTINCT catastici.Owner_Family_Name) AS num_families
FROM catastici
WHERE catastici.Property_Location = 'loco vicino la calle del paradiso'
GROUP BY catastici.Property_Type
HAVING COUNT(DISTINCT catastici.Owner_Family_Name) > 1
limit 1;","""Property_Location"" = ""loco vicino la calle del paradiso""","[""SELECT DISTINCT catastici.Property_Type \nFROM catastici \nWHERE catastici.Property_Location = 'loco vicino la calle del paradiso';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Property_Type, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Location = 'loco vicino la calle del paradiso' \nGROUP BY catastici.Property_Type, catastici.Owner_Family_Name \nHAVING COUNT(*) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Property_Type, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Location = 'loco vicino la calle del paradiso' \nGROUP BY catastici.Property_Type, catastici.Owner_Family_Name \nHAVING COUNT(catastici.Property_Type) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT catastici.Property_Type, catastici.Owner_Family_Name \nFROM catastici \nWHERE catastici.Property_Location = 'loco vicino la calle del paradiso'\nGROUP BY catastici.Property_Type, catastici.Owner_Family_Name \nHAVING COUNT(catastici.Property_Type) > 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ;""]"
"How many families own a property in ""calle corrente dell'occa""?","SELECT COUNT(DISTINCT catastici.Owner_Family_Name) 
FROM catastici 
WHERE catastici.Property_Location = 'calle corrente dell''occa';","""Property_Location"" = ""calle corrente dell'occa""","[""SELECT catastici.Owner_Family_Name, COUNT(catastici.Property_ID) AS num_properties\nFROM catastici\nWHERE catastici.Property_Location = 'calle corrente dell'occa'\nGROUP BY catastici.Owner_Family_Name;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Owner_Family_Name, COUNT(catastici.Property_ID) AS num_properties\nFROM catastici\nWHERE catastici.Property_Location = 'calle corrente dell''occa'\nGROUP BY catastici.Owner_Family_Name;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT COUNT(*) AS families_with_properties\nFROM (\nSELECT catastici.Owner_Family_Name\nFROM catastici\nWHERE catastici.Property_Location = 'calle corrente dell'occa'\n) AS unique_families_with_properties;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT catastici.Owner_Family_Name, COUNT(catastici.Property_ID) AS num_properties\nFROM catastici\nWHERE catastici.Property_Location = 'calle corrente dell'occa'\nGROUP BY catastici.Owner_Family_Name;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text ) , catastici.Property_ID ( integer )]\ncolumns info :\nID -- Primary key ;""]"
"List all different property types in ""calle della torre"".","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Property_Location = 'calle della torre';","""Property_Location"" = ""calle della torre""","[""SELECT DISTINCT catastici.Property_Type \nFROM catastici \nWHERE catastici.Property_Location = 'calle della torre';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici\nWHERE catastici.Property_Location = 'calle della torre';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type\nFROM catastici \nWHERE catastici.Property_Location = 'calle della torre';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT DISTINCT catastici.Property_Type \nFROM catastici \nWHERE catastici.Property_Location = 'calle della torre';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\nprimary key :\ncatastici.ID\ncolumns info :\nID -- Primary key ;""]"
"Does ""domenico"" ""michiel"" own the property with the lowest rent income in the dataset?","SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Rent_Income
FROM catastici
WHERE catastici.Owner_First_Name = 'domenico' AND catastici.Owner_Family_Name = 'michiel'
AND Rent_Income = ( SELECT MIN(catastici.Rent_Income)
FROM catastici
ORDER BY catastici.Rent_Income ASC
LIMIT 1);","""Owner_First_Name"" = ""domenico""
""Owner_First_Name"" = ""michiel""","[""SELECT catastici.Rent_Income\nFROM catastici\nWHERE catastici.Owner_First_Name = 'domenico' AND catastici.Owner_Family_Name = 'michiel';\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"", ""SELECT *\nFROM catastici\nWHERE catastici.Owner_First_Name = 'domenico' AND catastici.Owner_Family_Name = 'michiel' AND catastici.Rent_Income = (SELECT MIN(catastici.Rent_Income) FROM catastici);\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ;"", ""SELECT catastici.Rent_Income\nFROM catastici\nWHERE catastici.Owner_First_Name = 'domenico' AND catastici.Owner_Family_Name = 'michiel'\nORDER BY catastici.Rent_Income\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ; ;"", ""SELECT catastici.Rent_Income\nFROM catastici\nWHERE catastici.Owner_First_Name = 'domenico' AND catastici.Owner_Family_Name = 'michiel'\nORDER BY catastici.Rent_Income ASC\nLIMIT 1;\n\ndatabase schema :\ntable catastici , columns = [ catastici.ID ( integer ) , catastici.Owner_ID ( integer ) , catastici.Owner_First_Name ( text ) , catastici.Owner_Family_Name ( text ) , catastici.Property_Type ( text ) , catastici.Rent_Income ( integer ) , catastici.Property_Location ( text )]\ncolumns info :\nID -- Primary key ; ; ; ; ; ;""]"
