id,question,category,answer_format,n_matches,entity_match,column_mappings,in_columns,phrase_matches,references,n_matches_predict
17,How many people live within 100 meters from the closest church in 1740?,spatial,a single number,1,0,"[('people', 'owner_first_name', 1), ('church', 'landmark_name', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[False, True, True, True]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}]",1
18,How many people live within 100 meters from the closest church in 1808?,spatial,a single number,1,0,"[('people', 'owner_first_name', 2), ('people', 'owner_family_name', 2), ('live within 100 meters', 'longitude', 2), ('live within 100 meters', 'latitude', 2), ('from the closest church', 'landmark_type', 3)]","[False, False, False, False, False]",[],"[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'live within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'live within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'from the closest church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type'}}]",0
19,"On average, how much more expensive are houses near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,[],[],[],[],0
20,"On average, how much more expensive are workshops near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,[],[],[],[],0
21,"On average, how much more expensive are schools near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('On average, how much more expensive', 'rent_price', 1), ('are schools', 'building_functions', 1), ('near the squares', 'landmark_type', 3), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('compared to those further away', 'longitude', 1), ('compared to those further away', 'latitude', 1)]","[False, True, True, False, False, False, False]","[{'are schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'near the squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'on average, how much more expensive': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",2
22,"On average, how much bigger are houses near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('houses', 'building_functions', 1), ('houses', 'building_functions', 2), ('near the squares', 'landmark_type', 3), ('near the squares', 'longitude', 1), ('near the squares', 'latitude', 1), ('near the squares', 'longitude', 2), ('near the squares', 'latitude', 2), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2), ('compared to those further away', 'longitude', 1), ('compared to those further away', 'latitude', 1), ('compared to those further away', 'longitude', 2), ('compared to those further away', 'latitude', 2)]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'near the squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'near the squares': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'near the squares': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'near the squares': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'near the squares': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",3
23,"On average, how much bigger are workshops near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('workshops', 'building_functions', 2), ('squares', 'landmark_name', 3), ('building_area', 'building_area', 2)]","[True, True, False]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}]","[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",1
24,"On average, how much bigger are schools near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('building_area', 'building_area', 2), ('building_functions', 'building_functions', 2), ('landmark_type', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[False, False, True, True, True]",[],"[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'building_functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
25,"On average, how much more expensive are houses near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('rent_price', 'rent_price', '1'), ('building_functions', 'building_functions', '1'), ('landmark_type', 'landmark_type', '3'), ('longitude', 'longitude', '1'), ('latitude', 'latitude', '1'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2')]","[True, False, True, True, False, True, False]",[],"[{'building_functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'latitude': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'latitude': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",0
26,"On average, how much more expensive are workshops near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('workshops', 'building_functions', 1), ('near the churches', 'landmark_type', 3), ('near the churches', 'parish', 1), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('compared to those further away', 'longitude', 1), ('compared to those further away', 'latitude', 1), ('in 1740', None, 1), ('on average', 'rent_price', 1)]","[False, True, True, False, False, False, False, False, False]","[{'near the churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'near the churches': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'on average': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",2
27,"On average, how much more expensive are schools near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('On average, how much more expensive', 'rent_price', 1), ('are schools', 'building_functions', 1), ('near the churches', 'landmark_type', 3), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('compared to those further away', 'longitude', 1), ('compared to those further away', 'latitude', 1)]","[False, True, True, False, False, False, False]","[{'are schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'near the churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'on average, how much more expensive': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'compared to those further away': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",2
28,"On average, how much bigger are houses near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('houses', 'building_functions', 2), ('houses', 'building_functions', 1), ('churches', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('building_area', 'building_area', 2)]","[True, True, True, True, True, True, True, False]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",3
29,"On average, how much bigger are workshops near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('building_area', 'building_area', 2), ('building_functions', 'building_functions', 2), ('landmark_type', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[False, False, True, True, True]",[],"[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'building_functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
30,"On average, how much bigger are schools near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('schools', 'building_functions', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('building_area', 'building_area', 2)]","[True, True, True, True, True, True, True, False]","[{'schools': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}]","[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",1
31,How many buildings are located around the square of San Marco within 100 meters in 1740?,spatial,a single number,1,1,"[('buildings', None, 1), ('square', 'landmark_type', 3), ('San Marco', 'landmark_name', 3), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2)]","[False, True, True, False, False, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",2
32,How many buildings are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,1,1,"[('church of Saint Paul', 'landmark_name', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, True, True]","[{'church of saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['chiesa di saint george']}}]",[],1
33,How many houses are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,2,1,"[('houses', 'building_functions', 1), ('Saint Paul', 'landmark_name', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, True, True, True]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': [""sant' aponal""]}}]",[],2
34,How many buildings are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,1,1,"[('buildings', None, 2), ('square', 'landmark_name', 3), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2)]","[False, True, False, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'within 100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",1
35,How many buildings are located around the church of Saint Paul within 100 meters in 1808?,spatial,a single number,1,1,"[('buildings', 'building_functions_count', 2), ('church of Saint Paul', 'landmark_name', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('building_area', 'building_area', 2)]","[False, True, True, True, False]","[{'church of saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['chiesa di saint george']}}]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",1
36,How many houses are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,2,1,"[('houses', 'building_functions', 2), ('San Marco', 'landmark_name', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, True, True]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],2
37,Are the buildings located within 100 meters from San Marco more expensive than the buildings located within 100 meters from other squares in 1740?,spatial,yes or no,2,1,"[('buildings', 'building_functions_count', 1), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('rent_price', 'rent_price', 1), ('squares', 'landmark_type', 3), ('landmark_type', 'landmark_type', 3)]","[False, True, True, True, True, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",1
38,Are the buildings located within 100 meters from San Marco bigger than the buildings located within 100 meters from other squares in 1808?,spatial,yes or no,2,1,"[('buildings', None, 2), ('San Marco', 'landmark_name', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('building_area', 'building_area', 2), ('landmark_type', 'landmark_type', 3)]","[False, True, True, True, False, True]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'building_area': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",1
39,On average how far do people live from the squares in 1740?,spatial,a single number,1,0,"[('how far', 'longitude', 1), ('how far', 'latitude', 1), ('do people live', 'longitude', 1), ('do people live', 'latitude', 1), ('from the squares', 'landmark_type', 3)]","[False, False, False, False, True]","[{'from the squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'how far': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'how far': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'do people live': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'do people live': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
40,On average how far do people live from the squares in 1808?,spatial,a single number,1,0,"[('squares', 'landmark_type', 3), ('people', 'owner_first_name', 2), ('people', 'owner_family_name', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, False, False, True, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
41,Which neighborhood has the highest density of different families in 1740?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('density of different families', 'owner_family_name', 1), ('density of different families', 'owner_family_name', 2)]","[True, False, False]","[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['ghetto vecchio']}}]","[{'density of different families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'density of different families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
42,Which neighborhood has the highest density of different families in 1808?,spatial,a single entity name,0,0,"[('neighborhood', 'district', 2), ('density of different families', 'owner_family_name', 1), ('density of different families', 'owner_family_name', 2)]","[True, False, False]",[],"[{'density of different families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'density of different families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
43,How many churches does each parish have on average in 1740?,spatial,a single number,1,0,[],[],[],[],0
44,How many churches does each district have on average in 1808?,spatial,a single number,1,0,"[('churches', 'landmark_type', 3), ('each district', 'district', 2)]","[True, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",[],1
45,Is there a significant difference in the rent prices for buildings within 100 meters from the closest churches versus from squares in 1740?,spatial,yes or no,2,0,"[('rent prices', 'rent_price', '1'), ('longitude', 'longitude', '1'), ('latitude', 'latitude', '1'), ('landmark_type', 'landmark_type', '3'), ('landmark_type', 'landmark_type', '3')]","[True, True, False, True, True]",[],"[{'latitude': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",0
46,Is there a significant difference in the area of buildings within 100 meters from the closest churches versus from squares in 1808?,spatial,yes or no,2,0,"[('in the area of buildings', 'building_area', 2), ('within 100 meters from the closest churches', 'longitude', 2), ('within 100 meters from the closest churches', 'latitude', 2), ('within 100 meters from the closest churches', 'landmark_type', 3), ('versus from squares', 'landmark_type', 3)]","[False, False, False, False, True]","[{'versus from squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'in the area of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'within 100 meters from the closest churches': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'within 100 meters from the closest churches': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}, {'within 100 meters from the closest churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type'}}]",1
47,Which neighborhood contains the buildings with the highest rent price on average in 1740?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('buildings with the highest rent price on average', 'rent_price', 1)]","[True, True]","[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['ghetto vecchio']}}]",[],1
48,Which neighborhood contains the buildings with the largest area on average in 1808?,spatial,a single entity name,0,0,"[('neighborhood', 'district', 2), ('buildings with the largest area on average', 'building_area', 2)]","[True, False]",[],"[{'buildings with the largest area on average': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
49,What is the name of the square that is the most densely populated with people within 100 meters in 1740?,spatial,a single entity name,1,0,[],[],[],[],0
50,What is the name of the square that is the most densely populated with people within 100 meters in 1808?,spatial,a single entity name,1,0,"[('square', 'landmark_name', 3), ('people', 'building_functions', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, False, True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
51,How many buildings are there per parish on average in 1740?,spatial,a single number,0,0,"[('buildings', 'parish', '1')]",[False],[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
52,How many buildings are there per district on average in 1808?,spatial,a single number,0,0,"[('building_functions_count', 'building_functions_count', '2'), ('district', 'district', '2')]","[True, True]",[],[],0
53,What is the parish with the highest rent price in 1740?,spatial,a single entity name,0,0,"[('parish', 'parish', 1), ('rent price', 'rent_price', 1)]","[True, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],1
54,What is the district with the largest buildings in 1808?,spatial,a single entity name,0,0,"[('district', 'district', 2), ('largest buildings', 'building_area', 2)]","[True, True]",[],[],0
55,"Among all the parishes, what is the highest density of buildings with multiple functions in 1740?",spatial,a single number,0,0,"[('parish', 'parish', 1), ('building_functions_count', 'building_functions_count', 1), ('building_functions_count', 'building_functions_count', 1)]","[True, True, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],1
56,"Among all the districts, what is the highest density of buildings with multiple functions in 1808?",spatial,a single number,0,0,"[('district', 'district', '2'), ('building_functions_count', 'building_functions_count', '2')]","[True, True]",[],[],0
57,What is the average rent price difference between the parishes with the highest and the lowest rent prices in 1740?,spatial,a single number,0,0,"[('average rent price', 'rent_price', '1'), ('parishes', 'parish', '1'), ('rent prices', 'rent_price', '1')]","[False, True, True]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}]","[{'average rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",1
