Owner_First_Name,Owner_Family_Name,Property_Type,Property_Location,Rent_Income
Marc'antonio,TIEPOLO,casa,Fondamenta del Bagatin,56 ducati
Marc'antonio,TIEPOLO,casa,Fondamenta del Bagatin,27 ducati
Marc'antonio,TIEPOLO,casa,Fondamenta del Bagatin,50 ducati
Marc'antonio,TIEPOLO,magazen,Fondamenta del Bagatin,26 ducati
Marc'antonio,TIEPOLO,magazen,Fondamenta del Bagatin,6 ducati
Marc'antonio,TIEPOLO,magazeni n. 2 e casetta,Fondamenta del Bagatin,30 ducati
Nicolo,CONTARINI,casa,Fondamenta del Bagatin,50 ducati
Piero,CONTARINI,casa e bottega da battifoglia,Giù dal ponte Bagatin,120 ducati
Nicolo,CONTARINI,casa e bottega da tentor,Giù dal ponte Bagatin,105 ducati
Piero,CONTARINI,casa,Giù dal ponte Bagatin,76 ducati
Giovanni Francesco,PASQUALIGO BASADONNA,casa e bottega da pistor,Giù dal ponte Bagatin,130 ducati
Andriana,ZATTERLE,inviamento da pistor,Giù dal ponte Bagatin,90 ducati
Sebastian,LIPOMANO,casa,Giù dal ponte Bagatin,70 ducati
Francesco,MOROSINO,casa,Giù dal ponte Bagatin,20 ducati
Giovanni Francesco,PASQUALIGO BASADONNA,casa,Giù dal ponte Bagatin,28 ducati
Nicolo,DUSTO,casa,Giù dal ponte Bagatin,90 ducati
Piero,GRIMANI,casa,Giù dal ponte Bagatin,110 ducati
Marc'antonio,QUERINI,casa,Giù dal ponte Bagatin,90 ducati
Marc'antonio Antonio,QUERINI,casa,Giù dal ponte Bagatin,90 ducati
Marc'antonio,TIEPOLO,casa e bottega da luganegher,Giù dal ponte Bagatin,60 ducati
Marc'antonio,TIEPOLO,casa e bottega da fabro,Giù dal ponte Bagatin,42 ducati
Francesco,CIAN,casa e forno,Vicino alla Chiesa,90 ducati
Gabriel,GIUSTINIAN,inviamento,Vicino alla Chiesa,40 ducati
,SPORINI,inviamento,Vicino alla Chiesa,40 ducati
Giovanni,BELLIANI,casa,Calle dei Preti,26 ducati
Francesco,CIAN,casa pepian,Calle dei Preti,16 ducati
Francesco,CIAN,casa,Calle dei Preti,40 ducati
Giuseppe,PAPAROTTI,casa,Calle dei Preti,160 ducati
Iseppo,LINI,casa,Calle dei Preti,240 ducati
Gerolamo,BANDIERA,casa,Vicin al ponte Noris,100 ducati
Domenico,MICHIELI,casa,Vicin al ponte Noris,94 ducati
Giovanni Francesco,MOROSINI,casa,Vicin al ponte Noris,250 ducati
Giovanni Battista,FILOSI,casa pepian,Vicin al ponte Noris,26 ducati
Leonora,RIPARDI,casa,Vicin al ponte Noris,25 ducati
Vicenzo,CICCI,casa,Vicin al ponte Noris,25 ducati
Valentin,PONTELLO,casa,Vicin al ponte Noris,25 ducati
Giovanni Battista,BENETELLI,casa,Vicin al ponte Noris,15 ducati
Eleonora,ZIPPARDI,casa,Vicin al ponte Noris,20 ducati
Vicenzo,CICCI,casa,Vicin al ponte Noris,20 ducati
Daniel,BERTONI,casa,Vicin al ponte Noris,12 ducati
Marieta,FONTANA BARBO,casa,Vicin al ponte Noris,12 ducati
Nicolin,NORIS DA BERGAMO,casa,Ponte Noris,240 ducati
Francesco,PIVATI DA PADOVA,casa,Corte di Ca Battagia,62 ducati
Francesco,PIVATI DA PADOVA,casa,Corte di Ca Battagia,12 ducati
Gerolamo,BATTAGGIA,28,Corte di Ca Battagia,porzione di casa
Gerolamo,BATTAGGIA,altra porzione di casa,Corte di Ca Battagia,28 ducati
Gerolamo,BATTAGGIA,altra porzione di casa,Corte di Ca Battagia,28 ducati
Francesco,PIVATI DA PADOVA,casa pepian,Corte di Ca Battagia,10 ducati
Zuanne,DOLFIN,porzione di casa,Corte di Ca Battagia,35 ducati
Zuanne,DOLFIN,porzione di casa,Corte di Ca Battagia,50 ducati
,BATTAGIA,appartamento,Corte di Ca Battagia,60 ducati
,BATTAGGIA,appartamento vuoto,Corte di Ca Battagia,60 ducati
,POLICRETI,casa,Corte di Ca Battagia,47 ducati
Stefano,PREMUDA,casa e bottega da zavatin,Calle del frutariol,18 ducati
Giovanni Francesco,PASQUALIGO,casa e bottega da frutariol,Calle del frutariol,44 ducati
Cristoforo,CODOGNOLA,casa e bottega,Pistoria,48 ducati
Giovanni Francesco,PIVATI,casa e bottega,Pistoria,40 ducati
Zorzi,BAVELLA,casa,Corte Veniera,35 ducati
Zorzi,BAVELLA,casa,Corte Veniera,35 ducati
Zuanne,MORON,casa,Calle Varisca,11 ducati
Zuanne Bortolo,GRADENIGO,casa,Calle Varisca,26 ducati
Zuanne,MORON,casa,Calle Varisca,10 ducati
Marc'antonio,BASTARIGO,casa,Calle Varisca,26 ducati
Marc'antonio,BASTARIGO,casa,Calle Varisca,26 ducati
,BATTAGIA,casa,Calle Varisca,52 ducati
Giovanni Battista,RIVA,casa,Calle Varisca,48 ducati
Bortolamio,USABELLI,casa,Calle Varisca,40 ducati
Bernardo,BERLENDIS,casa,Calle Varisca,32 ducati
Marc'antonio,ERIZZO,casa,Calle Moranda,14 ducati
,GRIMANI,casa,Calle Moranda,16 ducati
Antonio Maria,BERNARDO,casa,Calle Moranda,30 ducati
,VENIERI,porzione di casa,Calle Moranda,16 ducati
,BATTAGIA,casa pepian,Calle Moranda,14 ducati
Marc'antonio,ERIZZO,casa a pepian,Calle Moranda,14 ducati
Zuanne,NANI,casa,Calle Moranda,160 ducati
Andrea,CAPELLO,casa,Calle Moranda,14 ducati
,CAPELLO,casetta,Calle Moranda,14 ducati
Gerolamo,CORNER,casa,Calle Moranda,50 ducati
Antonio,DONA,casa,Calle Moranda,55 ducati
Andrea,CAPELLO,casa e bottega,Calle Moranda,16 ducati
Antonio,DONA,porzione di casa,Calle Moranda,55 ducati
Antonio,DONA,altra porzione di casa,Calle Moranda,66 ducati
Marc'antonio,GRIMANI,casa e bottega,Campiello di Ca Zen,14 ducati
Marc'antonio,GRIMANI,casetta pepian,Campiello di Ca Zen,12 ducati
Marc'antonio,GRIMANI,casa,Campiello di Ca Zen,60 ducati
Zuanne Andrea,CAPELLO,casetta a pepian,Campiello di Ca Zen,15 ducati
Andrea,CAPELLO,casa,Campiello di Ca Zen,46 ducati
Andrea,CAPELLO,casa,Campiello di Ca Zen,61 ducati
Giovanni Antonio,CAVAGNIS,magazen,Campiello di Ca Zen,12 ducati
Giovanni Antonio,CAVAGNIS,magazen,Campiello di Ca Zen,40 ducati
Giovanni Antonio,CAVAGNIS,casa pepian,Calle della Mora,8 ducati
Marc'antonio,GRIMANI,casa pepian,Calle della Mora,14 ducati
Alvise,PISANI,casa,Calle della Mora,26 ducati
Francesco,TREVISAN,casa,Calle della Mora,12 ducati
Francesco Antonio,BOLANI,casa,Calle della Mora,21 ducati
Francesco Antonio,BOLLANI,porzione di casa,Calle della Mora,18 ducati
Francesco Antonio,BOLLANI,porzione di casa,Calle della Mora,21 ducati
Francesco Antonio,BOLLANI,altra porzione di casa,Calle della Mora,8 ducati
Francesco Antonio,BOLLANI,casa pepian,Calle della Mora,10 ducati
Francesco Antonio,BOLLANI,casa,Calle della Mora,15 ducati
Francesco,TREVISAN,casa,Calle della Mora,14 ducati
Bastian,MOROSINI,casa pepian,Calle della Mora,14 ducati
Lunardo,VENIER,casa,Calle della Mora,14 ducati
Marc'antonio,GRIMANI,casa,Corte Contarina,28 ducati
Francesco,TREVISAN,bottega barbier,Corte Contarina,10 ducati
Elisabetta,COREO,casa,Corte Contarina,28 ducati
Francesco,TREVISAN,casa pepian,Corte Contarina,10 ducati
Francesco,TREVISAN,casa,Corte Contarina,28 ducati
Francesco,TREVISAN,casa,Corte Contarina,30 ducati
Paolo,TREVISAN,casa e bottega da luganegher,Corte Contarina,22 ducati
Paolina,TREVISAN,porzione di casa,Corte Contarina,10 ducati
Paolina,TREVISAN,porzione di casa,Corte Contarina,14 ducati
Paolina,TREVISAN,porzione di casa,Corte Contarina,10 ducati
Paolina,TREVISAN,casa pepian,Corte Contarina,10 ducati
Paolina,TREVISAN,casa a pepian,Corte Contarina,14 ducati
Giacomo,BON,casa,Corte Contarina,36 ducati
Zorzi,MANOLESSO,casa,Corte Contarina,32 ducati
Zorzi,MANOLESSO,casa,Corte Contarina,30 ducati
Andrea,SORANZO,casa,Corte Contarina,36 ducati
Andrea,SORANZO,casa,Corte Contarina,34 ducati
Andrea,SORANZO,casa,Al volto,36 ducati
Andrea,SORANZO,casa,Al volto,34 ducati
Nicolo,VENIER,casa,Al volto,20 ducati
Marco,RENZON,porzione di casa,Al volto,12 ducati
Marco,BENZON,porzione di casa,Al volto,14 ducati
Marco,BENZON,porzione di casa,Al volto,16 ducati
Daniel,RENIER,casa,Al volto,20 ducati
Zorzi,EMO,casa,Al volto,18 ducati
Domenica,ROVETTA,porzione di casa,Al volto,11 ducati
Domenico,ROVETTA,porzione di casa,Al volto,15 ducati
Domenica,ROVETTA,porzione di casa,Al volto,14 ducati
Francesco,TREVISAN,casa,Calle Nova,80 ducati
Piero,MEMO,porzione di casa,Calle Nova,26 ducati
Piero,MEMO,porzione di casa,Calle Nova,18 ducati
Marco,ZEN,porzione di casa,Calle Nova,22 ducati
Marco,ZEN,porzione di casa,Calle Nova,10 ducati
Marco,ZEN,porzione di casa,Calle Nova,10 ducati
Marco,ZEN,porzione di casa,Calle Nova,12 ducati
Marco,ZEN,casa,Calle Nova,66 ducati
Marco,ZEN,soffitta,Calle Nova,24 ducati
Giacomo,BON,magazen,Calle Nova,4 ducati
Giacomo,BON,porzione di casa,Calle Nova,18 ducati
Giacomo,BON,porzione di casa,Calle Nova,16 ducati
Giacomo,BON,porzione di casa,Calle Nova,18 ducati
Giacomo,BON,casa,Calle Nova,40 ducati
Marco,CORNER,casa,Calle Nova,41 ducati
Giacomo,BON,casa,Calle Nova,40 ducati
,LABIA,casa,Calle di acqua vita,33 ducati
Iseppo,BALBI,porzione di casa,Calle di acqua vita,16 ducati
Iseppo,BALBI,altra porzione di casa,Calle di acqua vita,8 ducati
Iseppo,BALBI,porzione di casa,Calle di acqua vita,12 ducati
,SORANZO,casa pepian,Calle di acqua vita,12 ducati
Zorzi,D'ANTONIN,casa pepian,Calle di acqua vita,3 ducati
Zorzi,D'ANTONIN,casa pepian,Calle di acqua vita,0
Bortolo,GRADENIGO,casa pepian,Campiel del remer,10 ducati
Bortolo,GRADENIGO,casa,Campiel del remer,18 ducati
Bortolo,GRADENIGO,casa,Campiel del remer,24 ducati
Marina,BASADONNA CONTARINI GRADENIGO,casa,Campiel del remer,26 ducati
Bortolo,GRADENIGO,casa,Campiel del remer,40 ducati
Vicenzo,GRADENIGO,casa pepian,Campiel del remer,13 ducati
Bortolo,GRADENIGO,casa,Campiel del remer,26 ducati
Bortolo,GRADENIGO,magazen,Campiel del remer,12 ducati
Bortolo,GRADENIGO,casa e bottega da frutariol,Campiel del remer,16 ducati
Gerolamo,GRADENIGO,casa e bottega,Campiel del remer,48 ducati
Gerolamo,GRADENIGO,bastion inviamento,Campiel del remer,320 ducati
Bortolo,GRADENIGO,casa e bottega da luganegher,Campiel del remer,54 ducati
Francesco,GUARIONI,inviamento luganegher,Campiel del remer,40 ducati
Bortolo,GRADENIGO,casa e bottega,Campiel del remer,40 ducati
Zuanne,GRADENIGO,casa,Calle del magazen,40 ducati
Bortolo,GRADENIGO,casa pepian,Calle del magazen,16 ducati
Carlo,GRADENIGO,porzione di casa,Calle del magazen,20 ducati
Carlo,GRADENIGO,porzione di casa,Calle del magazen,20 ducati
Bortolo,GRADENIGO,casa,Calle del magazen,12 ducati
Vicenzo,GRADENIGO,casa,Calle del magazen,42 ducati
Vicenzo,GRADENIGO,magazen,Calle del magazen,8 ducati
Gerolamo,GRADENIGO,casa,Calle del magazen,59 ducati
Gerolamo,GRADENIGO,casa,Calle del magazen,26 ducati
Zuanne,GRADENIGO,casa,Calle del magazen,16 ducati
Carlo,GRADENIGO,casa,Calle del magazen,15 ducati
Carlo,GRADENIGO,casa,Calle del magazen,22 ducati
Carlo,GRADENIGO,casa,Calle del magazen,24 ducati
Bortolo,GRADENIGO,casa,Calle del magazen,12 ducati
Carlo,GRADENIGO,casa pepian,Calle del magazen,8 ducati
Carlo,GRADENIGO,casa pepian,Calle del magazen,6 ducati
Carlo,GRADENIGO,casa pepian,Calle del magazen,6 ducati
Carlo,GRADENIGO,casa,Calle del magazen,17 ducati
Carlo,GRADENIGO,casa,Calle del magazen,16 ducati
Carlo,GRADENIGO,casa e bottega,Calle del magazen,12 ducati
Carlo,GRADENIGO,casa,Calle del magazen,24 ducati
Valentin,ARTMAN,casa,Calle dei Cordoni,74 ducati
Antonio,GIANOLLA,casa,Calle dei Cordoni,40 ducati
Antonio,GIANOLLA,casa,Calle dei Cordoni,24 ducati
Marc'antonio,GRIMANI,casa,Calle dei Cordoni,24 ducati
Marc'antonio,GRIMANI,casa in fabrica,Calle dei Cordoni,0
Mattio,BALBI,casa,Calle dei Cordoni,40 ducati
Mattio,BALBI,casa,Calle dei Cordoni,40 ducati
Mattio,BALBI,casa pepian,Calle dei Cordoni,12 ducati
Matti,BALBI,porzione di casa,Calle dei Cordoni,12 ducati
Mattio,BALBI,altra porzione di casa,Calle dei Cordoni,10 ducati
Angela,NADINI,casa,Calle dei Botteri,70 ducati
Andrea,CHIODO,casa,Corte della Carità,12 ducati
Marc'antonio,GRIMANI,casa,Corte del Frutariol,20 ducati
,LABIA,casa pepian,Corte del Frutariol,0
Giacomo,BON,casa,Corte del Frutariol,20 ducati
,POLI,casa,Corte del Frutariol,16 ducati
Giacomo,BON,casa e bottega,Calle del frutariol,31 ducati
Lunardo,VENIER,casa,Calle del frutariol,8 ducati
,POZZI,casa,Calle del frutariol,44 ducati
Piero,MEMO,casa,Calle del frutariol,14 ducati
Iseppo,BALBI,casa pepian,Calle del frutariol,10 ducati
Iseppo,BALBI,casa pepian,Calle del frutariol,6 ducati
,LABIA,casa,Calle del frutariol,13 ducati
Gerolamo,GRADENIGO,casa pepian,Calle del frutariol,10 ducati
Bernardo Alessio,RUINI,casa,Calle della Pietà,8 ducati
Bernardo Alessio,RUINI,casa,Calle della Pietà,12 ducati
Marina,BASADONNA CONTARINI GRADENIGO,casa,Calle della Pietà,30 ducati
Marina,BASADONNA CONTARINI GRADENIGO,casa,Calle della Pietà,24 ducati
Marina,BASADONNA CONTARINI GRADENIGO,casa,Calle della Pietà,36 ducati
Bernardo Alessio,RUINI,casa pepian,Calle della Pietà,8 ducati
Bernardo Alessio,RUINI,casa pepian,Calle della Pietà,6 ducati
Bortolo,GRADENIGO,casa,Calle della Pietà,12 ducati
Zuanne,GRADENIGO,casa,Calle della Pietà,22 ducati
Bortolo,BERLENDI,casa,Calle della Pietà,53 ducati
Bortolo,GRADENIGO,casa,Calle della Pietà,30 ducati
Zuanne,GRADENIGO,casa,Calle della Pietà,36 ducati
Zuanne,GRADENIGO,casa pepian,Calle della Pietà,8 ducati
Marina,BASADONNA CONTARINI GRADENIGO,casa pepian,Calle della Pietà,10 ducati
Gaetano,GRADENIGO,casa,Calle della Pietà,10 ducati
Bortolamio,GRADENIGO,casa pepian,Calle della Pietà,6 ducati
Bortolamio,GRADENIGO,casa pepian,Calle della Pietà,8 ducati
Vicenzo,GRADENIGO,casa,Calle della Pietà,40 ducati
Vicenzo,GRADENIGO,casa,Calle della Pietà,40 ducati
Bernardin,RUINI,casa,Campo Rotto,16 ducati
Antonio,MORETTI,casa,Campo Rotto,16 ducati
Bortolamio,BERLENDIS,casa,Campo Rotto,45 ducati
Bortolamio,BERLENDIS,casa pepian,Campo Rotto,10 ducati
Bortolomio,BERLENDIS,casa pepian,Campo Rotto,10 ducati
Bortolomio,BERLENDIS,casa pepian,Campo Rotto,18 ducati
Bortolomio,BERLENDIS,casa,Campo Rotto,36 ducati
Bortolo,BERLENDIS,casa,Campo Rotto,58 ducati
Benetto,TREVISAN,casa,Calle Tizian,9 ducati
Bernardin,RUINI,casa,Calle Tizian,8 ducati
Marco,TREVISAN,casa,Calle Tizian,8 ducati
Bernardin,RUINI,case rovinose,Calle Tizian,0
,GRITTI,casa pepian,Calle Tizian,6 ducati
Bernardin,RUINI,casa pepian,Calle Tizian,6 ducati
Zuanne,FOSCARI,casa porzione,Calle Tizian,15 ducati
Zuanne,FOSCARI,casa porzione,Calle Tizian,10 ducati
Giovanni Francesco,MOROSINI,casa e bottega,Campiel del Pestrin,14 ducati
Giovanni Francesco,MOROSINI,casa,Campiel del Pestrin,28 ducati
Giovanni Francesco,MOROSINI,casa,Campiel del Pestrin,16 ducati
Giovanni Francesco,MOROSINI,casa a pepian,Campiel del Pestrin,13 ducati
Giovanni Francesco,MOROSINI,casa pepian,Campiel del Pestrin,14 ducati
Giovanni Francesco,MOROSINI,casa,Campiel del Pestrin,26 ducati
Giovanni Francesco,MOROSINI,casa,Campiel del Pestrin,18 ducati
Giovanni Francesco,MOROSINI,casa,Campiel del Pestrin,14 ducati
Giovanni Francesco,PASQUALIGO BASADONNA,casa,Campiel del Pestrin,12 ducati
Zorzi,BONDULMIER,casa,Campiel del Pestrin,12 ducati
Giovanni Francesco,PASQUALIGO BASADONNA,casa,Campiel del Pestrin,20 ducati
Zorzi,BONDUMIER,casa,Campiel del Pestrin,24 ducati
Daniel,RENIER,casa,Campiel del Pestrin,18 ducati
Pietro,GALLICI,casa e bottega,Campiel del Pestrin,24 ducati
Adelaide,GALICO SANTORIO,porzione di casa,Campiel del Pestrin,12 ducati
Adeliade,GALICO SANTORIO,porzione di casa,Campiel del Pestrin,10 ducati
Chiara,FRANCESCHI,casa,Campiel del Pestrin,16 ducati
Chiara,FRANCESCHI,casa e bottega,Campiel del Pestrin,40 ducati
Zorzi,MANOLESSO,casa pepian,Calle del fumo,14 ducati
Chiara,FRANCESCHI,casa,Calle del fumo,36 ducati
Zorzi,MANOLESSO,casa,Calle del fumo,51 ducati
Zorzi,MANOLESSO,casa pepian,Calle del fumo,8 ducati
Chiara,FRANCESCHI,casa pepian,Calle del fumo,14 ducati
Chiara,FRANCESCHI,casa pepian,Calle del fumo,12 ducati
Chiara,FRANCESCHI,casa,Calle del fumo,36 ducati
Alessandro,ZEN,casa pepian,Calle del fumo,14 ducati
Chiara,FRANCESCHI,casa pepian,Calle del fumo,13 ducati
Vicenzo,ZEN,casa,Calle del fumo,58 ducati
Lorenzo,CANCIANI,casa pepian,Calle del fumo,14 ducati
Lorenzo,CANCIANI,casa,Calle del fumo,34 ducati
Lorenzo,CANCIANI,bottega d'acqua vite,Calle del fumo,14 ducati
Isabella,GIANOLLA,casa,Calle del fumo,40 ducati
Zuanne Maria,SEMITECOLO,porzione casa,Calle del fumo,9 ducati
Zuanne Maria,SEMITECOLO,porzione di casa,Calle del fumo,12 ducati
Zuanne Maria,SEMITECOLO,porzione di casa,Calle del fumo,10 ducati
Lorenzo,CANCIANI,casa pepian,Calle del figo,8 ducati
Lorenzo,CANCIANI,casa pepian,Calle del figo,8 ducati
Lorenzo,CANCIANI,casa pepian,Calle del figo,8 ducati
Lorenzo,CANCIANI,casa pepian,Calle del figo,8 ducati
Chiara,FRANCESCHI,casa pepian,Calle del figo,7 ducati
Marco,BENZON,casa,Calle del Fumo,16 ducati
Marco,BENZON,casa e bottega,Calle del Fumo,36 ducati
Zuanne Maria,SEMITECOLO,casa,Calle del Fumo,36 ducati
,GRIMANI,casa,Calle del Fumo,60 ducati
Polo,ERIZO,casa,Calle del Fumo,20 ducati
Mattio,BALBI,casa,Calle del Fumo,30 ducati
Zuanne,GRADENIGO,casa,Calle del Fumo,65 ducati
Zuanne,GRADENIGO,casa,Calle del Fumo,35 ducati
Nicolo,GRAINA,bottega,Calle del Fumo,10 ducati
Mattio,BALBI,casa,Calle del Fumo,32 ducati
Zuanne Mattio,BALBI,casa,Calle del Fumo,30 ducati
Paolo,PISANI,casa,Calle del Fumo,32 ducati
Paolo,PISANI,casa pepian,Calle del Zesso,12 ducati
Paolo,PISANI,casa pepian,Calle del Zesso,12 ducati
Paolo,PISANI,casa pepian,Calle del Zesso,12 ducati
Paolo,PISANI,casa pepian,Calle del Zesso,12 ducati
Paolo,PISANI,casa,Calle del fumo,32 ducati
Mattio,BALBI,casa pepian,Calle del fumo,12 ducati
Paolo,PISANI,casa,Calle del fumo,54 ducati
Paolo,PISANI,casa,Calle del fumo,56 ducati
,DAMIANI,casa,Calle del fumo,60 ducati
Paolo,PISANI,casa,Calle del fumo,32 ducati
Paolo,PISANI,casa,Calle del fumo,52 ducati
Isabella,CHIARI,casa pepian,Calle del fumo,12 ducati
Paolo,PISANI,casa,Calle del fumo,52 ducati
Paolo,PISANI,casa,Calle del fumo,32 ducati
Paolo,PISANI,casa e bottega,Calle del fumo,22 ducati
Isabella,CHIARI,casa,Calle del fumo,50 ducati
Paolo,PISANI,edificio da zesso,Calle del fumo,72 ducati
Carlo,FRUEL,casa,Calle della Zucheraria,52 ducati
Agostin,BIANCHI,casa pepian,Calle della Zucheraria,12 ducati
Giovanni Battista,ONGARO,casa,Calle della Zucheraria,56 ducati
Giovanni Battista,ONGARO,casa,Calle della Zucheraria,50 ducati
Carlo,FRUEL,casa pepian,Calle della Zucheraria,12 ducati
Agostin,BIANCHI,casa pepian,Calle della Zucheraria,12 ducati
Giovanni Battista,ONGARO,casa,Calle della Zucheraria,60 ducati
Alessandro,SEMITECOLO,casa,Calle della Zucheraria,50 ducati
Piero,PRIULI,casa,Calle di Ca Ruzzini,60 ducati
Piero,PRIULI,casa,Calle di Ca Ruzzini,60 ducati
Piero,PRIULI,casa,Calle di Ca Ruzzini,60 ducati
Iseppo,PASSIS DA BERGAMO,casa,Calle di Ca Ruzzini,80 ducati
Piero,PRIULI,casa,Calle di Ca Ruzzini,80 ducati
Anzola,TOSETTI,casa,Calle Colombina,44 ducati
Paolo,BOLDU,bottega da spechier e casa,Calle Colombina,56 ducati
Bortolo,BERLANDI,bottega da boter,Calle Colombina,47 ducati
,MOCENIGO VALIER,casa con magazen,Calle Colombina,210 ducati
Zorzi,CONTENTI,casa,Calle Colombina,63 ducati
Giacomo,BIANCHI,casa,Calle della Crose,64 ducati
Giacomo,BIANCHI,casa,Calle della Crose,56 ducati
Giacomo,BIANCHI,porzione casa,Calle della Crose,14 ducati
Giacomo,BIANCHI,porzione casa,Calle della Crose,16 ducati
Regina,CONTINI,casa pepian,Calle della Crose,14 ducati
Regina,CONTINI,casa,Calle della Crose,115 ducati
Regina,CONTINI,casa,Calle della Crose,108 ducati
Zuanne Battista,DEDONI,due magazeni,Calle della Crose,70 ducati
Zuanne,DONA,magazen,Calle della Crose,30 ducati
Zuanne,DONA,magazen,Calle della Crose,30 ducati
Zuane,DONA,teren da tavole vuoto,Calle della Crose,0
Giacomo,CALDERANI,casa e casetta a pepian,Calle Colombina,62 ducati
Elena,FRACASSETI,magazen,Calle Colombina,6 ducati
,OTTOBUONI,magazen,Calle Colombina,12 ducati
Paolo,BORDU,casa,Calle Colombina,46 ducati
Paolo,BORDU,casa,Calle Colombina,44 ducati
Paolo,BORDU,casa vuota,Calle Colombina,0
Paolo,BOLDU,casa pepian,Calle della Vida,14 ducati
Anibal,FONTE,casa,Calle della Vida,26 ducati
Emilia,BARBARIGO BALANIN,casa,Calle della Vida,36 ducati
Alban,FONTE,casa,Calle della Vida,48 ducati
Antonio,FONTE,casa,Calle della Vida,14 ducati
Antonio,FONTE,casa,Sulle fondamenta nuove,36 ducati
,ANGELI FELTRE,casa pepian,Calle della Stella,12 ducati
,ANGELI FELTRE,casa pepian,Calle della Stella,12 ducati
,ANGELI FELTRE,casa pepian e bottega,Calle della Stella,30 ducati
,ANGELI FELTRE,casa,Calle della Stella,18 ducati
Benetto,BARBARIGO BALBI,casa e magazen,Calle della Stella,60 ducati
Bonomo,ALGAROTTI,casa,Calle della Stella,310 ducati
Anibal,FONTE,casa pepian,Corte Stella,8 ducati
Bonomo,ALGAROTTI,magazen,Corte Stella,27 ducati
,ANGELI FELTRE,magazen,Corte Stella,16 ducati
Bonomo,ALGAROTTI,magazen,Corte Stella,5 ducati
Anibal,FONTE,magazen,Corte Stella,4 ducati
