question,answer,answer_generated
What type of property does Zuanne GERARDI own in Corte delle Colonne Fondamenta San Domenico?,casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Zuanne GERARDI own in Corte delle Colonne Fondamenta San Domenico?
### Answer: 2 magazeni vuoti di legno e mastelleri per suo uso privato con licentia d'affittarle al proprie spese con privilegio di por porre il padrin dal canto de"
What type of property does Domenico MICHIEL own in Case Vecchie?,Casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Domenico MICHIEL own in Case Vecchie?
### Answer: 3 case di caratti diversi per uso proprio con giardino, e magazen da fiori in Calle della Malvasia sino alla calle dell'Occa non è detta Cà Bernardo Corner Consorzi"
What is the family name of Angelo who owns Casa in Calle delle Ballotte in Corte della Malvasia?,FILOSI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Angelo who owns Casa in Calle delle Ballotte in Corte della Malvasia?
### Answer:  CAVALLI STEFANI FOSCARINI PRIULI DA PADOVA CONTARINI e MARCHIONE RENIER FOSCARINI PISANI MIC"
How much does Giovanni Silvestro PONTI earn from their property bottega da sartor in Calle del Tentor?,8 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Giovanni Silvestro PONTI earn from their property bottega da sartor in Calle del Tentor?
### Answer: 32 ducati, 5 grossi denari, e 6 grosseri con tre piccioni per l'intessità della pietà di Dio dal Canton al Ponte de Baretteri sino alla R"
How much does nan ZULIAN earn from their property Casa sola in Dietro la Chiesa?,36 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does nan ZULIAN earn from their property Casa sola in Dietro la Chiesa?
### Answer: 62 ducati, 18 grossi, per suo uso e de famiglia sua e amici suoi con tutti i carceri che non avranno casa propria, et inviabilmente vuota di bottega di fr"
What type of property does Alvise PRIULI own in Calle di Ca' Capello?,Casetta,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Alvise PRIULI own in Calle di Ca' Capello?
### Answer: 2 libertà di traghetto e casa in soler di sopra con il suo magazen per uso della famiglia e di proprio uso e venga da carità per uso di padrin altra bottega del pistor"
What is the family name of Antonio who owns casa in soler in Calle del Forno?,BONCIO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Antonio who owns casa in soler in Calle del Forno?
### Answer:  PICCHIANI VIDMAN ROTTI GEROLA DA PADOVA CONTARINI e MARTINELLI | _madre coniuge BONDUMIER CHIORETTI"
Who owns a property Casa in soler in La Calle vicina al Campiel dal Panizza in Arzere with the family name of ASSONICA?,Pietro,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa in soler in La Calle vicina al Campiel dal Panizza in Arzere with the family name of ASSONICA?
### Answer:  Maria Regina Angela | _madre | TOMASINI | TOMASINI DALLA MOTTA | Dalla Mota
### Question: What type of property does Cattarina | _consorte F"
"How much does Andriana BEMBO CORNER earn from their property Casa, due terzi in Calle del Dragan?",20 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Andriana BEMBO CORNER earn from their property Casa, due terzi in Calle del Dragan?
### Answer: 26 ducati, 8 grossi, per carico di spezier da medicina della Scola de Ca' Fossa in Corte dei Santi di Luca alla Carità e al Liutamante non fattasi ora"
Who owns a property Casa in Calle Caleri with the family name of GRIMANI?,Michiel,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Casa in Calle Caleri with the family name of GRIMANI?
### Answer:  Antonio Maria Girolamo Ascanio | _consorte BARBARIGO | BARBARIGO""
### Question: Where is the property casa e magazen of Zuanne Battista | MARINONI"
Where is the property nan of Lugretia BRAGADIN located?,Corte dell'Albero,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property nan of Lugretia BRAGADIN located?
### Answer: 32 dietro alla Chiesa in San Polo e Scola dal 1756 sino a Santa Maria Maggiore Corte della Baldinei (Strade Minori) Vecchia Calle Nova Giustiniani - Riel"
Where is the property casa of Lucietta RUBBI located?,Corte Morosina,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Lucietta RUBBI located?
### Answer: 28 aprile con altri venderà per suo vantaggio e di suo uso e comodo del famigliare della suddetta bottega da frutariol per carità di Cristo Salvatore Moro da Muran
##"
Where is the property casa soler of Michiel CONTARINI located?,Calle della Pegola,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa soler of Michiel CONTARINI located?
### Answer: 29 Campo dell'Erba fondamenta San Domenico benedetto detto di Rialto sino alla calle dei Preti sino alla calle de Fabri with no other answers
### Question: What type of"
What is the family name of Pietro who owns Casa in Corte de Ka Zoppa?,CATANI,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Pietro who owns Casa in Corte de Ka Zoppa?
### Answer:  CAPELLO TREVISAN | _consorte""
### Question: How much does Antonio Maria BARBARIGO earn from their property Casa in soler in due appartamenti, secondo di sopra in In"
How much does Lorenzo PEZZANA earn from their property bottega da muschier in Bocca di piazza?,36 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Lorenzo PEZZANA earn from their property bottega da muschier in Bocca di piazza?
### Answer: 8 ducati, 2 grossi, 6 grossi, 3 piccoli, 2 piccolissimi, 5 perle e 2 perlini, 1 pepianetta, 15 pepi"
What is the family name of Andrea who owns casa in Campo dietro il Cimiterio?,CORNER,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Andrea who owns casa in Campo dietro il Cimiterio?
### Answer:  SORANZO GROTTA PASQUALIGO BEMBO PONTE VENDOMINI | _erede | PASQUALIGO BEMBO PONTE VENDOMINI is none"
What is the family name of Gerolamo Ascanio who owns bottega da peruchier in Frezzaria?,GIUSTINIAN,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Gerolamo Ascanio who owns bottega da peruchier in Frezzaria?
### Answer:  COLOMBO CORNER TACCO | _consorte FOSCARINI PRIULI RENIER LOREDAN ZUSTINIANA BARBARIGO | None"
How much does Zorzi MANOLESSO earn from their property casa in Corte dalla Vida?,12 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Zorzi MANOLESSO earn from their property casa in Corte dalla Vida?
### Answer: 26 ducati, 15 grossi denari, 8 piccoli denari veneziani per anno e 9 giorni, 3 quintali, 10 poundi, 12 grossi barili"
How much does Giuseppe MORA earn from their property casa e bottega in Calle per andar in Campo San Filippo e Giacomo?,30 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Giuseppe MORA earn from their property casa e bottega in Calle per andar in Campo San Filippo e Giacomo?
### Answer: 58 ducati, 2 grossi, 3 piccoli, 6 grossi, 9 grandi, 13 piccolini, 16 larghi, 17 grossi, 19 piccioli"
Who owns a property casetta in Sottoportico calle longa with the family name of BRAGADIN?,Giovanni,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casetta in Sottoportico calle longa with the family name of BRAGADIN?
### Answer:  Domenico Gaetano GIOVANELLI LOREDAN RUZZINI PRIULI FERRO | _madre di CORNER TACCO | CORNER TACCO is 2"
How much does Bastian LOMBARDINI earn from their property Casa in soler in Calle delle Pinotolle sopra canal?,8 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Bastian LOMBARDINI earn from their property Casa in soler in Calle delle Pinotolle sopra canal?
### Answer: 28 ducati, 6 grossi sivoli per carità di Cristofero VIDMANZIANO RICCOLDI BERLENDIS SAGREDO ZINELLI E FILOTTI"
What is the family name of Zuanne who owns casa in soler in Pescaria?,CAPELLO,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Zuanne who owns casa in soler in Pescaria?
### Answer:  CAPELLO COENA FERRETTI TREVISAN LARDONI GRIMANI STEFFANI DA PADOVA NOZZE CONTARINI ROTTA DI CAMARINE"
What type of property does Francesco SARDI own in Calle del Cordellotto?,casetta,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Francesco SARDI own in Calle del Cordellotto?
### Answer: 2 libertà di traghetto e casa in soler con bottega da scaleter e magazenetto per suo uso vino et altro da medicina per sua uso di malattia e per suo uso di biacca de"
Who owns a property Bottega e Casa in soler in Salizada di San Stae with the family name of PRIULI?,Francesco,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property Bottega e Casa in soler in Salizada di San Stae with the family name of PRIULI?
### Answer:  Domenico Gaetano Francesco Giustinian PRIULI FONTANA | priuli | FONTANA | None | NADA | Nada | GUIDOTTO RENIER | Marco Antonio"
What type of property does Giacomo CORNER own in Calle della Madonna?,Casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Giacomo CORNER own in Calle della Madonna?
### Answer: 2 metà di bottega da sartor e casa in soler di sopra per proprio uso vuota al momento con carpentiarii affittuati dal padrin che le paga il padrin suo fr"
Who owns a property casa e bottega da luganegher in Calle del Frutariol with the family name of NEGRI?,Laura,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property casa e bottega da luganegher in Calle del Frutariol with the family name of NEGRI?
### Answer:  Maria Teresa DONADA CORRER PASQUALIGO | CONTINI | CONTINI | CONTINI | MARIA TEREZIA DA RIVA DI CAMARO LIPAR"
Where is the property casa of Giacomo MIANI located?,Calle del Figher,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property casa of Giacomo MIANI located?
### Answer: 2 affittanze di detta casa in Calle della Riosa sotto il Portico del Sturion appresso il squero sopra al volto o forno corrispondente dello stesso portico sino alla calle de"
How much does Francesco PRIULI earn from their property casa soler in Ruga de due Pozzi?,40 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Francesco PRIULI earn from their property casa soler in Ruga de due Pozzi?
### Answer: 65 ducati, 2 grossi, 3 piccoli, 8 mezzo per cento lire, 12 ducati di sua grazia, 9 grossi, 9 piccoli, 18 mezzi per"
Who owns a property camera in Calle del Pin with the family name of BARBARIGO?,Marc'antonio,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Who owns a property camera in Calle del Pin with the family name of BARBARIGO?
### Answer:  Marco Antonio | _consorte CASTELLI | CASTELLI MOCENIGO LIPPOMANO FERRETTI | CORREGGIO | Pietro Paolo | Domenico | PASQUAL"
What type of property does Zuanne NANI own in Calle dei Bombaseri?,Bottega vuota,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Zuanne NANI own in Calle dei Bombaseri?
### Answer: 2 case di cane e bottega da luganegher e casa soler con magazen per proprio uso, porzione del primo e secondo di detto mercato per proprio uso, porzione del terzo di detta casa"
What type of property does Pietro MEMO own in Sopra la Riva del Carbon?,Bottega di Barbier,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Pietro MEMO own in Sopra la Riva del Carbon?
### Answer: 3 case e bottega da marangon con magazen contiguo altra casa di sopratutto suo uso per suo vivere gratis vende cara compresa dal detto Simon BARBARIGO sino"
What type of property does Alvise FERRETTI own in Campiello della Pace Corte Friziera?,Casa,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What type of property does Alvise FERRETTI own in Campiello della Pace Corte Friziera?
### Answer: 2 case pepian e bottega da zavatter con mezzadi per uso di casa in soler suo proprio vantaggio di mercato per proprio uso del mercatan
### Question: How much does Pietro MARCE"
How much does Bernardo CORNER TACCO earn from their property Casa in Corte di Ca' Verde?,80 ducati,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: How much does Bernardo CORNER TACCO earn from their property Casa in Corte di Ca' Verde?
### Answer: 26 ducati, 18 grossi, 3 piccoli, e 5 minuti, per carità di detta casa da letto in In Calle del Dose vicin al Campo e vicin alla Riva"
Where is the property Inviamento da Fruttarol of Bortolo PISONI located?,Calle de Fabri,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: Where is the property Inviamento da Fruttarol of Bortolo PISONI located?
### Answer: 20 di Ca' Basse di Ca' Vincentini ""Volta"" (Corpo della Voda) con tre case e bottega per la malvasia e due magazzeni per le fabbriche della pistoria"
"What is the family name of Marco who owns casa, secondo soler in Altra scala?",ALISON,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Marco who owns casa, secondo soler in Altra scala?
### Answer:  FOSCARINI SOLARI PRIULI RENIER TREVISANS located in Corte dei Orzi
### Question: How much does Antonio DONA earn from their casa, primo sol"
What is the family name of Nicolo who owns Casetta vuota in Calle Pisciuta?,VENDRAMIN,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Nicolo who owns Casetta vuota in Calle Pisciuta?
### Answer:  FOSCARINI CORNERO TREVISANELLO | _consorte AQUISTI | AQUISTI | AQUISTI
### Question: Who owns Casa e bottega da"
What is the family name of Francesco who owns casa in Calle del Campaniel?,LABIA,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Francesco who owns casa in Calle del Campaniel?
### Answer:  CAPELLO DA PADOVA REALDADEL FOSCARINI ZANCHI MORAZINI GERARDINI COMBETTI RENIER TREVISANI |"
What is the family name of Bernardo who owns casa in Sotto il portego del forner?,CORNER,"You are a historian specialized in Venice in 1740.
You know all the data about the people who owned properties in Venice in 1740.
You are asked a question about the people of Venice in 1740, who own properties.
Answer the given question with the answer only with no additional information.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
### Question: What is the family name of Bernardo who owns casa in Sotto il portego del forner?
### Answer:  CORNER TACCO MALVICINI PISANI BEMBO MOCENIGO GRITTI FERRARI CONTARINI GIRONA ZEN ROTTAZINI LORED"
