owner_family_name,count_1740,count_1808,increase
bellotto,10.0,0.0,-10.0
belogno,1.0,0.0,-1.0
beloto,1.0,1.0,0.0
belotto,5.0,0.0,-5.0
beltrame donadi,1.0,0.0,-1.0
beltramin,3.0,0.0,-3.0
beltramin lugo,1.0,0.0,-1.0
beltramini,2.0,0.0,-2.0
bembo,91.0,98.0,7.0
bembo bonbiasio,2.0,0.0,-2.0
bembo corner,7.0,0.0,-7.0
bembo frattina,1.0,0.0,-1.0
bembo rombiasio,1.0,0.0,-1.0
bembo rompiasio,1.0,0.0,-1.0
bembo valier,1.0,7.0,6.0
benaggia,1.0,0.0,-1.0
benati,2.0,0.0,-2.0
benci,19.0,0.0,-19.0
benedetti,3.0,3.0,0.0
benetelli,1.0,0.0,-1.0
benetti,9.0,1.0,-8.0
beni,2.0,2.0,0.0
benson,1.0,0.0,-1.0
benussi,1.0,0.0,-1.0
benvenuti,9.0,2.0,-7.0
benvenuti spinelli,2.0,0.0,-2.0
benzi,1.0,0.0,-1.0
benzon,31.0,17.0,-14.0
berega,1.0,0.0,-1.0
beregan,1.0,7.0,6.0
berengo,1.0,5.0,4.0
bergamin,2.0,0.0,-2.0
bergantin,5.0,0.0,-5.0
berici,2.0,0.0,-2.0
berizzi,6.0,0.0,-6.0
berlandi,1.0,0.0,-1.0
berlendi,10.0,0.0,-10.0
berlendis,16.0,25.0,9.0
berlendis de piccoli,1.0,0.0,-1.0
bernardi,9.0,64.0,55.0
bernardi augusti,1.0,0.0,-1.0
bernardini,4.0,0.0,-4.0
bernardo,109.0,35.0,-74.0
bernardona,1.0,0.0,-1.0
bernati,9.0,0.0,-9.0
bertani,1.0,2.0,1.0
bertarizini,1.0,0.0,-1.0
berti,1.0,42.0,41.0
bertin,1.0,0.0,-1.0
bertocco,1.0,0.0,-1.0
bertoci,1.0,0.0,-1.0
bertolini angeli,1.0,0.0,-1.0
bertoni,2.0,0.0,-2.0
bertosi,1.0,0.0,-1.0
bertoti,10.0,9.0,-1.0
bertotti,3.0,1.0,-2.0
berttoni,1.0,0.0,-1.0
berzacina,1.0,0.0,-1.0
bettani,1.0,0.0,-1.0
betteni,4.0,0.0,-4.0
bettinelli,4.0,0.0,-4.0
bettini,1.0,2.0,1.0
bettoni,4.0,5.0,1.0
bettoni malipiero,17.0,0.0,-17.0
bevilacqua,1.0,16.0,15.0
bezzi,1.0,0.0,-1.0
biancato,1.0,0.0,-1.0
bianchi,28.0,13.0,-15.0
bianchini,17.0,10.0,-7.0
bianconi,4.0,2.0,-2.0
bianconi tamagnin,2.0,0.0,-2.0
biasi,1.0,1.0,0.0
biasini,1.0,0.0,-1.0
bigerach,1.0,0.0,-1.0
binfadini,1.0,0.0,-1.0
binvicini,1.0,0.0,-1.0
biondi,29.0,0.0,-29.0
bisson,1.0,3.0,2.0
blanchetton,1.0,0.0,-1.0
boara,1.0,0.0,-1.0
boarati,1.0,0.0,-1.0
bobdumier,1.0,0.0,-1.0
boccacini,1.0,1.0,0.0
bocchi,1.0,0.0,-1.0
bodeni,2.0,0.0,-2.0
bodesson,12.0,0.0,-12.0
bogagia,1.0,0.0,-1.0
bognulo malamoco,1.0,0.0,-1.0
bolani,18.0,40.0,22.0
boldini,10.0,0.0,-10.0
boldu,28.0,2.0,-26.0
boldu capello,1.0,0.0,-1.0
boles,1.0,0.0,-1.0
bolini,1.0,13.0,12.0
bolis,8.0,0.0,-8.0
bollani,26.0,38.0,12.0
bolli,3.0,0.0,-3.0
bollini,14.0,2.0,-12.0
bollini battagia,1.0,0.0,-1.0
bollis,1.0,6.0,5.0
bombesi,1.0,0.0,-1.0
bombeta,1.0,0.0,-1.0
bommartini,1.0,0.0,-1.0
bon,39.0,8.0,-31.0
bon boni,1.0,0.0,-1.0
bon licini,4.0,0.0,-4.0
bona,1.0,0.0,-1.0
bona camis,1.0,0.0,-1.0
bonacini,1.0,1.0,0.0
bonadli,1.0,0.0,-1.0
bonali,3.0,5.0,2.0
bonamin,10.0,2.0,-8.0
bonanave,1.0,0.0,-1.0
bonaventura,2.0,0.0,-2.0
bonbicini,2.0,0.0,-2.0
bonbisini,5.0,0.0,-5.0
boncio,12.0,18.0,6.0
boncusen,1.0,0.0,-1.0
boncusin,1.0,0.0,-1.0
bonduer,3.0,0.0,-3.0
bondulmer,1.0,0.0,-1.0
bondulmier,12.0,0.0,-12.0
bondumier,9.0,2.0,-7.0
boneri,1.0,0.0,-1.0
bonfadin,2.0,0.0,-2.0
bonfadini,60.0,67.0,7.0
bonfandin,11.0,0.0,-11.0
bonfandini,1.0,2.0,1.0
boni,3.0,3.0,0.0
bonicelli,7.0,13.0,6.0
bonini,3.0,1.0,-2.0
boniolli,5.0,0.0,-5.0
bonlin,2.0,0.0,-2.0
bonlini,2.0,10.0,8.0
bono,1.0,0.0,-1.0
bonolli bianchini,2.0,0.0,-2.0
bonomelli,4.0,0.0,-4.0
bonomo,5.0,7.0,2.0
bonotto,1.0,0.0,-1.0
bontempo,5.0,0.0,-5.0
bontio,2.0,0.0,-2.0
bonvicini,25.0,31.0,6.0
bonvin,2.0,0.0,-2.0
bonzio,5.0,22.0,17.0
bordelon,1.0,0.0,-1.0
bordini,1.0,1.0,0.0
bordu,2.0,0.0,-2.0
borea,1.0,0.0,-1.0
borella,4.0,2.0,-2.0
borghesaleo,1.0,0.0,-1.0
borin,3.0,7.0,4.0
bortoletti,3.0,0.0,-3.0
bortoloni,2.0,0.0,-2.0
bortoloti,1.0,1.0,0.0
bortoloti baggio,2.0,0.0,-2.0
bortolotti,2.0,12.0,10.0
bortolotti raggio,1.0,0.0,-1.0
boschetti,1.0,0.0,-1.0
boschetti protti,1.0,0.0,-1.0
boschi,1.0,0.0,-1.0
boschiero,1.0,0.0,-1.0
bosello,1.0,0.0,-1.0
bosetti,3.0,0.0,-3.0
bosio,3.0,19.0,16.0
bossello,1.0,0.0,-1.0
bottison,1.0,0.0,-1.0
bozza,1.0,0.0,-1.0
bozzato,3.0,0.0,-3.0
bracchi,4.0,0.0,-4.0
bracci,2.0,0.0,-2.0
bragadin,113.0,102.0,-11.0
bragesi,1.0,0.0,-1.0
bragolin,3.0,2.0,-1.0
bramezza,3.0,0.0,-3.0
brani,1.0,0.0,-1.0
brasi,1.0,1.0,0.0
brasino,1.0,0.0,-1.0
braveti,1.0,1.0,0.0
bravetti,5.0,8.0,3.0
bravi,24.0,0.0,-24.0
bravuto,1.0,0.0,-1.0
brazzi tomasini,2.0,0.0,-2.0
bregantin,1.0,0.0,-1.0
bregolin,1.0,1.0,0.0
bresolata,2.0,0.0,-2.0
bresolin,1.0,0.0,-1.0
bressa,8.0,1.0,-7.0
bressani,2.0,0.0,-2.0
brigo,1.0,0.0,-1.0
brigonzi,2.0,0.0,-2.0
brisolin,2.0,0.0,-2.0
brondel,1.0,0.0,-1.0
bronzarini,3.0,0.0,-3.0
bronzerini,2.0,0.0,-2.0
brunacini,1.0,0.0,-1.0
brunati,1.0,0.0,-1.0
brunetti,2.0,0.0,-2.0
bruni,1.0,0.0,-1.0
brusaborco zuliani,1.0,0.0,-1.0
brusco,4.0,0.0,-4.0
brusi,3.0,0.0,-3.0
brussolata,2.0,0.0,-2.0
bruzzi,5.0,0.0,-5.0
bruzzoni,5.0,0.0,-5.0
bucelli,3.0,0.0,-3.0
buelle,1.0,0.0,-1.0
buffetti,7.0,2.0,-5.0
buffetti locatelli,3.0,0.0,-3.0
bullo,1.0,1.0,0.0
bullo d'andrea,1.0,0.0,-1.0
bulo,5.0,3.0,-2.0
busca,2.0,2.0,0.0
busella,2.0,1.0,-1.0
busichia,2.0,0.0,-2.0
businello zanne,1.0,0.0,-1.0
businelo,1.0,0.0,-1.0
buttacalice,3.0,4.0,1.0
cabib,1.0,0.0,-1.0
cabibi,2.0,0.0,-2.0
cachiopoli,4.0,0.0,-4.0
cacia,1.0,0.0,-1.0
cadorta,1.0,0.0,-1.0
caena,1.0,0.0,-1.0
caenazzo,2.0,0.0,-2.0
caffre,2.0,0.0,-2.0
cafre,2.0,0.0,-2.0
cagnato,1.0,0.0,-1.0
cagnolin,1.0,0.0,-1.0
caime,1.0,0.0,-1.0
caime collinoli,1.0,0.0,-1.0
caimi,2.0,0.0,-2.0
caimo,1.0,1.0,0.0
caimo lavesi,1.0,0.0,-1.0
calbo,53.0,8.0,-45.0
calbo giovanelli,1.0,0.0,-1.0
calceti,1.0,0.0,-1.0
caldara,1.0,0.0,-1.0
caldara corner,1.0,0.0,-1.0
calderani,1.0,0.0,-1.0
calderari,3.0,6.0,3.0
calderuzza,1.0,0.0,-1.0
calegari,15.0,6.0,-9.0
caliari,10.0,0.0,-10.0
calichiopoli,11.0,16.0,5.0
calichiopolo,3.0,0.0,-3.0
callegari,5.0,0.0,-5.0
calliari,4.0,3.0,-1.0
callichiopi,1.0,0.0,-1.0
callichiopo,1.0,0.0,-1.0
callichiopoli,20.0,0.0,-20.0
callichiopolli,1.0,0.0,-1.0
calogera sanzonio,1.0,0.0,-1.0
calore,1.0,0.0,-1.0
caltai,1.0,0.0,-1.0
calvi,35.0,27.0,-8.0
calvo,1.0,4.0,3.0
calvo giovanelli,1.0,0.0,-1.0
calzetta,2.0,0.0,-2.0
calzutti,1.0,0.0,-1.0
cambria d'avoli corfu,2.0,0.0,-2.0
camera,1.0,0.0,-1.0
campagna,2.0,0.0,-2.0
campalta,1.0,0.0,-1.0
campana,5.0,0.0,-5.0
campelli,2.0,1.0,-1.0
campi,2.0,1.0,-1.0
campioni,1.0,0.0,-1.0
campioni antonini,1.0,0.0,-1.0
campioni ottolini,1.0,0.0,-1.0
canal,91.0,52.0,-39.0
canali,1.0,1.0,0.0
cancelli,1.0,0.0,-1.0
canciani,3.0,11.0,8.0
candella,1.0,0.0,-1.0
canestri,1.0,0.0,-1.0
caniera,1.0,0.0,-1.0
caniis soares,1.0,0.0,-1.0
canpelli,1.0,0.0,-1.0
canton,1.0,2.0,1.0
caotorta,2.0,15.0,13.0
capato,4.0,0.0,-4.0
capelan,1.0,0.0,-1.0
capello,148.0,63.0,-85.0
capello renier,1.0,0.0,-1.0
capelo,18.0,0.0,-18.0
capetti,1.0,0.0,-1.0
capis zanetti,3.0,0.0,-3.0
capogrosso,1.0,1.0,0.0
capolin,5.0,0.0,-5.0
capovin,1.0,0.0,-1.0
cappeli,2.0,0.0,-2.0
cappellani,1.0,0.0,-1.0
cappello,22.0,56.0,34.0
capretta,1.0,1.0,0.0
capretti gassaldi,1.0,0.0,-1.0
caragnini capogrosso,1.0,0.0,-1.0
carara,2.0,1.0,-1.0
caratti,7.0,0.0,-7.0
caravaglio,3.0,0.0,-3.0
care,2.0,0.0,-2.0
careni,1.0,0.0,-1.0
caresana,2.0,2.0,0.0
carescina,2.0,0.0,-2.0
carezzana,2.0,0.0,-2.0
carichiopoli,3.0,0.0,-3.0
carli,14.0,4.0,-10.0
carlini,1.0,1.0,0.0
carminati,2.0,37.0,35.0
carob,2.0,0.0,-2.0
carrara,2.0,14.0,12.0
carrari,1.0,0.0,-1.0
carre,2.0,0.0,-2.0
carregiani,1.0,0.0,-1.0
carsolin,1.0,0.0,-1.0
carua,1.0,0.0,-1.0
casatti,1.0,2.0,1.0
casetti,7.0,0.0,-7.0
casi,2.0,0.0,-2.0
casina,1.0,0.0,-1.0
cassali,1.0,0.0,-1.0
casser,1.0,1.0,0.0
cassetti,66.0,49.0,-17.0
casson,2.0,0.0,-2.0
castagna,2.0,2.0,0.0
castaldi,1.0,0.0,-1.0
castelli,12.0,9.0,-3.0
catani,1.0,1.0,0.0
cataorta,1.0,0.0,-1.0
cattaneo,1.0,3.0,2.0
catti,1.0,0.0,-1.0
cauta,1.0,0.0,-1.0
cavaceaglio,1.0,0.0,-1.0
cavagni,1.0,0.0,-1.0
cavagnins,1.0,0.0,-1.0
cavagnis,15.0,12.0,-3.0
cavali,2.0,0.0,-2.0
cavali stefani,1.0,0.0,-1.0
cavalli,19.0,4.0,-15.0
cavalli stefani,4.0,0.0,-4.0
cavalli steffani,1.0,0.0,-1.0
cavallieri,1.0,0.0,-1.0
cavallo,2.0,0.0,-2.0
cavallo d'oderzo,1.0,0.0,-1.0
cavani,3.0,0.0,-3.0
cavanis,2.0,0.0,-2.0
cavreta,1.0,0.0,-1.0
cecchetti,1.0,0.0,-1.0
cecchini,2.0,0.0,-2.0
celini,1.0,4.0,3.0
celini da riva,2.0,0.0,-2.0
celini mocenigo,1.0,0.0,-1.0
celotto,1.0,0.0,-1.0
celsi,10.0,3.0,-7.0
celsi paulone,1.0,0.0,-1.0
censato,1.0,0.0,-1.0
centenari,2.0,5.0,3.0
centon,3.0,0.0,-3.0
cerchiari,1.0,0.0,-1.0
cernesi,1.0,0.0,-1.0
ceroni,2.0,5.0,3.0
cesarini,1.0,0.0,-1.0
ceschi,1.0,0.0,-1.0
cestari,7.0,0.0,-7.0
chalichiopalo,1.0,0.0,-1.0
checchi,1.0,0.0,-1.0
chechel,1.0,3.0,2.0
chehel,1.0,0.0,-1.0
chianello,2.0,0.0,-2.0
chiarello,1.0,0.0,-1.0
chiari,2.0,0.0,-2.0
chiario,1.0,0.0,-1.0
chiavalin,1.0,0.0,-1.0
chiavolin,1.0,0.0,-1.0
chietani,1.0,0.0,-1.0
chimoto,4.0,0.0,-4.0
chiodo,1.0,9.0,8.0
ciacci,2.0,0.0,-2.0
ciampi,1.0,0.0,-1.0
cian,2.0,0.0,-2.0
cicci,2.0,0.0,-2.0
ciceri provini,1.0,0.0,-1.0
cicogna,2.0,3.0,1.0
ciega,1.0,0.0,-1.0
ciera,17.0,7.0,-10.0
ciera pasini,2.0,0.0,-2.0
cieri,1.0,0.0,-1.0
cigogna,1.0,2.0,1.0
cilla amigoni,1.0,0.0,-1.0
cimegotto,1.0,0.0,-1.0
cinelli,11.0,0.0,-11.0
circonea,1.0,0.0,-1.0
citi,1.0,0.0,-1.0
citti,1.0,0.0,-1.0
cittolin saraval,1.0,0.0,-1.0
ciuran,31.0,1.0,-30.0
ciuran polvaro,12.0,0.0,-12.0
ciuran polvero,2.0,0.0,-2.0
ciurano polvero,1.0,0.0,-1.0
civena,1.0,0.0,-1.0
cividal gemel,1.0,0.0,-1.0
civran,18.0,66.0,48.0
civran polvato,1.0,0.0,-1.0
clemente,6.0,0.0,-6.0
clementi,2.0,10.0,8.0
clementi pasini,1.0,0.0,-1.0
coacin,1.0,0.0,-1.0
cocco,12.0,0.0,-12.0
coch,2.0,0.0,-2.0
coco,2.0,9.0,7.0
codazzi,1.0,0.0,-1.0
codignola,1.0,0.0,-1.0
codognola,14.0,24.0,10.0
coen,20.0,5.0,-15.0
colalto,10.0,7.0,-3.0
colarin,1.0,0.0,-1.0
colato,1.0,0.0,-1.0
coletti,1.0,28.0,27.0
colferai,1.0,0.0,-1.0
collalto,1.0,0.0,-1.0
colomban,1.0,0.0,-1.0
colombo,8.0,7.0,-1.0
colotti,1.0,3.0,2.0
combi,14.0,7.0,-7.0
comin,5.0,0.0,-5.0
comni,1.0,0.0,-1.0
conco,1.0,0.0,-1.0
condulmer,9.0,29.0,20.0
condulmer boldu,1.0,0.0,-1.0
condulmier,1.0,0.0,-1.0
coneglian,6.0,0.0,-6.0
confalonieri,1.0,0.0,-1.0
contarin,2.0,0.0,-2.0
contarin bovolo,1.0,0.0,-1.0
contarin duodo,2.0,0.0,-2.0
contarini,392.0,286.0,-106.0
contarini bembo,2.0,0.0,-2.0
contarini bovolo,1.0,0.0,-1.0
contarini contarini,1.0,0.0,-1.0
contarini dal zaffo,1.0,0.0,-1.0
contarini dona,2.0,0.0,-2.0
contarini donada,2.0,0.0,-2.0
contarini gradenigo,1.0,0.0,-1.0
contarini grimani,1.0,0.0,-1.0
contarini michiel,1.0,0.0,-1.0
contarini mocenigo,1.0,7.0,6.0
contarini ponte,11.0,0.0,-11.0
contarini soranzo,2.0,0.0,-2.0
contarini suriani,3.0,0.0,-3.0
contarini valier,1.0,2.0,1.0
contarini vianol,3.0,0.0,-3.0
contatini,2.0,0.0,-2.0
contenti,5.0,0.0,-5.0
contin,2.0,1.0,-1.0
contini,11.0,7.0,-4.0
conton,1.0,0.0,-1.0
contumeri,5.0,0.0,-5.0
conzato,4.0,0.0,-4.0
coppo,2.0,0.0,-2.0
cora,2.0,0.0,-2.0
coraduzzi,1.0,0.0,-1.0
corbelli,1.0,0.0,-1.0
coreggio,9.0,2.0,-7.0
coreo,1.0,0.0,-1.0
corer,3.0,1.0,-2.0
corera,1.0,0.0,-1.0
corera pisani,1.0,0.0,-1.0
cornaro,7.0,0.0,-7.0
corneggiano,1.0,0.0,-1.0
cornel,2.0,0.0,-2.0
cornelatti,1.0,0.0,-1.0
corner,260.0,235.0,-25.0
corner arnaldi,1.0,0.0,-1.0
corner contandi,1.0,0.0,-1.0
corner contarini,1.0,0.0,-1.0
corner dona,1.0,0.0,-1.0
corner morelli,2.0,0.0,-2.0
corner moroini,1.0,0.0,-1.0
corner morosini,4.0,0.0,-4.0
corner pisani,1.0,0.0,-1.0
corner tacco,15.0,0.0,-15.0
cornera,1.0,0.0,-1.0
cornera morelli,2.0,0.0,-2.0
cornera polita,6.0,0.0,-6.0
corniani,1.0,3.0,2.0
cornoldi,1.0,16.0,15.0
corona,1.0,1.0,0.0
correggio,14.0,7.0,-7.0
corregio,1.0,2.0,1.0
correr,84.0,74.0,-10.0
correr pisani,4.0,0.0,-4.0
correra,3.0,0.0,-3.0
correra pisani,1.0,0.0,-1.0
corsi,1.0,0.0,-1.0
corsini,1.0,0.0,-1.0
cortinovi,3.0,0.0,-3.0
corvelina,1.0,0.0,-1.0
corvioni,2.0,0.0,-2.0
cosmi,1.0,0.0,-1.0
cossali,1.0,12.0,11.0
cossalli,10.0,0.0,-10.0
cosselli,1.0,0.0,-1.0
cossi,1.0,0.0,-1.0
costa,1.0,5.0,4.0
costanti,1.0,0.0,-1.0
costantini,2.0,27.0,25.0
costanzi,6.0,0.0,-6.0
costanzis,1.0,0.0,-1.0
cottelli,1.0,0.0,-1.0
crestani,1.0,0.0,-1.0
cricchi,1.0,0.0,-1.0
criveli,1.0,0.0,-1.0
crivelli,5.0,2.0,-3.0
crota,4.0,17.0,13.0
crotta,6.0,36.0,30.0
cublin,1.0,0.0,-1.0
cucco,1.0,0.0,-1.0
cucina,2.0,0.0,-2.0
cucis,5.0,0.0,-5.0
cuina,2.0,0.0,-2.0
culain,1.0,0.0,-1.0
cumana,1.0,0.0,-1.0
cupis,1.0,0.0,-1.0
curanello,1.0,0.0,-1.0
curnis,14.0,25.0,11.0
curti,23.0,11.0,-12.0
curti gussoni,1.0,0.0,-1.0
cusola,4.0,0.0,-4.0
cussala,2.0,0.0,-2.0
cusselli,1.0,0.0,-1.0
cussola,8.0,0.0,-8.0
d'ancona,4.0,3.0,-1.0
d'andrea,1.0,0.0,-1.0
d'anias,1.0,0.0,-1.0
da brazzo narini,1.0,0.0,-1.0
da canal,3.0,0.0,-3.0
da comenduno,1.0,0.0,-1.0
da conegliano,1.0,0.0,-1.0
da leze,2.0,7.0,5.0
da lezza,2.0,0.0,-2.0
da lezze,29.0,8.0,-21.0
da malla,1.0,0.0,-1.0
da malle,1.0,0.0,-1.0
da mestre,1.0,0.0,-1.0
da mezzo palmetta,1.0,0.0,-1.0
da molin,3.0,0.0,-3.0
da monte,2.0,0.0,-2.0
da mora,2.0,0.0,-2.0
da mosto,35.0,6.0,-29.0
da mosto colalta,1.0,0.0,-1.0
da mosto collalto,4.0,0.0,-4.0
da mula,12.0,4.0,-8.0
da mula contarini,8.0,0.0,-8.0
da mula contatini,1.0,0.0,-1.0
da mulla,1.0,0.0,-1.0
da pase,2.0,0.0,-2.0
da pesaro,8.0,0.0,-8.0
da ponte,11.0,17.0,6.0
da ponte mocenigo,1.0,0.0,-1.0
da riva,56.0,4.0,-52.0
da schio,1.0,0.0,-1.0
da valle,2.0,0.0,-2.0
dada,11.0,8.0,-3.0
