owner_family_name,building_functions
arrigoni lardoni,"casa,casa,casa,casa,casa,casa,casa,casa,casa"
artman,"casa,casa,casa"
assonica,"bottega,casa,casa,casa,casa,casa"
astori,"appartamento, casa,casa,bottega,bottega,bottega, volta,bottega, volta,casa,magazzeno,volta,volta,bottega,casa,bottega, casa"
astori baroni,"appartamento, casa,appartamento, casa"
astori nani,casa
atardi,bottega
avanzzi,"casa,casa"
azzo,casa
babolin,casa
bacchi,casa
bacciol,casa
badini,"bottega, casa,casa"
badoer,"casa,casa,bottega, casa,casa,appartamento, casa,casa,appartamento, casa,casa,casa,orto, palazzo,bottega,casa,bottega,casa,casetta,casetta,casetta,casetta,casetta,calle,casetta,casetta,casetta,bottega, casa,casa,casa,casa,casa,casetta,appartamento, casa,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega, casa,casa,casa,bottega, casa,bottega, casa,bottega,bottega,casa,casa,bottega, casa,bottega, casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,appartamento,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,magazzeno,magazzeno,casa,bottega, casa,casetta,bottega,bottega,casa,bottega, casa,casa,bottega, casa,casa"
badoer mocengio,"casa,casa"
badoer mocenico,casa
badoer mocenigo,"bottega,bottega, casa,appartamento, casa,casa,bottega, casa,casa,casa,bottega,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,bottega,bottega, casa,bottega,magazzeno,bottega,bottega,casa,casa,appartamento,appartamento,appartamento,appartamento,appartamento,casa,appartamento,magazzeno,magazzeno,casa,bottega, casa,bottega, casa,casa,casa,casa,bottega, casa,casa,casa,casa"
badoer morreni,casa
badoera,"casa,casa"
badoera mocenigo,bottega
badover,casa
baffai,bottega
baffini,magazzeno
baggio,"casa,casa,casa,casa,casa,bottega,casa,bottega"
baglioni,"bottega,bottega, volta,bottega, volta,bottega,casa, magazzeno,bottega, volta,bottega, volta,bottega,bottega"
bagosi,casa
bagozzi,"appartamento, casa"
balandan,bottega
balarin,casa
balbi,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,magazzeno,casa,casa,bottega, casa,casa,bottega, casa,casa,bottega,casa,casa,casa,casa,casa, squero,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega,bottega,bottega,casa,casa,casa,casa,casa,casa,casa,bottega,casetta,casa,bottega, casa,bottega, casa,casetta,casa,casa,casa,casa,casa,casa,bottega,casetta,casetta,casetta,casetta,casetta,casa,casa,bottega, casa,bottega,casa,casa,casa,magazzeno,bottega,bottega,casa,casa,bottega, casa,casa,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casa,bottega,bottega,bottega,bottega,casa,casa"
balbi barbo,"casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,bottega,bottega,bottega,bottega,bottega,bottega,bottega,bottega,bottega,bottega"
balbi venturini,bottega
baldan,"appartamento, casa"
baldi,casa
baldo,"bottega, casa,casa,casa"
ballarin,casa
ballarin barbarigo,"casa,casa,casa,casa,casa,casa,casa,casa"
ballarini,casa
ballarini barbarigo,casa
ballovich,casa
bandiera,"casa,bottega, casa"
banzi,casa
barabo,casa
baratti,"casa,casa,casa,casa,casa"
barbabo,casetta
barbano,"casa,casa"
barbaran,"casa,bottega,bottega,bottega,bottega, pollaio"
barbarana,bottega
barbari,casa
barbariga dolfin,magazzeno
barbarigho,"casa,casa,bottega,casa,casa"
barbarigo,"casa,casa,casa,magazzeno,magazzeno,casa,casa,casa,casa,magazzeno,casa,bottega, casa, magazzeno,casa, porta,casa,bottega, casetta,casa,casa,casa,casetta,casa,bottega, casa,bottega,bottega,bottega, volta,bottega,casa,bottega,bottega,bottega,casa,magazzeno,bottega, casa,bottega,casa,bottega, casa,casa,casa,casa, terreno,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,terreno,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casetta,bottega,casa,casetta,casetta,casa,casa,casa,casa,casetta,casetta,casetta,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega,casa,casa,casa,camera,casa,casa,casa,casa,casetta,casetta,casetta,casa,casa,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega,bottega,bottega, casa, pollaio,bottega, casa,bottega,bottega, casa,casa,casa,casa,casa,magazzeno,bottega,bottega, casa,bottega,magazzeno,appartamento,appartamento,appartamento,appartamento,casa,casa,appartamento,appartamento,appartamento,bottega, casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,magazzeno,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega,casa,casa,casa,casa,casa,casa,casetta,bottega,bottega, casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casetta,casetta,casa,casa,casetta,casetta,casa,casa,bottega, magazzeno,casa,bottega,bottega,bottega, casetta, volta,casa,casa,casa,casa,casa,casa,casa,casa,volta,volta,bottega, pollaio,bottega, pollaio,bottega,bottega,casa,casa,bottega, volta,bottega, volta,bottega,casetta,casetta,bottega, magazzeno,bottega,casa"
barbarigo balanin,casa
barbarigo balbi,casa
barbarigo bembo,"casa,casa,casa,casa"
barbarigo bollani ballarini,casa
barbarigo dolfin,"bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
barbarigo giusti,casa
barbarigo michiel,casa
barbarigo rubini,"casa,casa"
barbarigo valier,casa
barbarigo vendramin,"bottega, casa"
barbaro,"casa,bottega, casa,bottega,bottega,bottega, casa,bottega,appartamento, casa,casa,bottega, casa,bottega,bottega,casetta,casetta,casa,casetta,casa,casa,casa,casa,casa,casa,casa,casetta,casetta,casetta,casetta,casa,casetta,bottega, casa,casetta,bottega, tagliapietra,casa,magazzeno,casa,casa,casa,casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,casa,casa,bottega,appartamento, casa,appartamento,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega, casa,bottega,magazzeno,magazzeno,casa,bottega, casa,bottega, casa,bottega,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega, casa,bottega, volta,bottega, volta,bottega, casa,casa,casetta,bottega, casetta,casa,casa,bottega,casa,casa"
barbaro bragadin,magazzeno
barbera lombardo,bottega
barberan,"bottega,casa,casa,bottega,bottega"
barbizzani,casa
barcella,"bottega, casa"
bardelli,bottega
barera,casa
baretta,"casa,casa"
baricchia,bottega
barich,casa
barlendis,bottega
barocci,"casa,casa"
baroci,"bottega, pollaio,bottega, magazzeno, volta,bottega, magazzeno, volta,bottega, magazzeno, volta"
baroncelli,"casa,bottega, casa,casa,casa,casa,bottega"
baroni fenestreri,casa
baronzelli,casa
barozzi,"bottega, casa"
barrini,casetta
barroni,casa
bartieri,"casetta,casa"
bartoli,"bottega, volta"
bartolotti,"casa,casa"
bartuali,casa
baruch,"casa,casa,casa,casa,casa"
baruch caravaglio,casa
basadona,"casa,bottega,casa,bottega, volta,bottega, casa, tagliapietra,casa,casa,casa,casa, squero,terreno,bottega, casa,casa,casa,magazzeno,magazzeno,casa,casa,casa,casa,bottega, casa,bottega, casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,casa,casa,casa,casa,bottega, casa,bottega, casa,volta"
basadonna,"casa,bottega,casa,casa,casetta,casetta,casetta,casa,casetta,casa,casa,casetta,bottega, casa,bottega, casa,casa,casa,casa,casa,casa,casa,casetta,bottega,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega, casa,casa,casa,bottega, casa,casa,appartamento,appartamento,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega"
basadonna contarini,"casa,casa,casa"
basadonna contarini gradenigo,"casa,casa,casa,casa,casa"
basadonna gradenigo,casa
basagli,casa
baseggio,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega,casa"
basegio,"bottega,bottega, casa,bottega, casa,bottega,casa,bottega, casa"
bassadona,"casa,casa,bottega, casa,casa,casetta"
bassana,"casa,casa"
bassanello,"bottega,bottega,casa"
bassi,"casa,casetta"
bassini,"casa,casa,casa,casa"
basso,"bottega,casa,appartamento,appartamento"
bastarigo,"casa,casa"
batagia belloni,casa
batagia beloni,bottega
bataglini,forno
battaggia,"casa,casa,bottega, casa"
battagia,"casa,casa,casa,casa"
battaglia,casa
battinelli,"bottega, volta"
battisoi,"casetta,casetta"
battistella,casa
battisti,"casa,casa,casa,casa,casa,casa,casa,casetta,casa,casa"
bava,"casa,casa"
bavela,"bottega,bottega"
bavella,"casa,casa,casa,casa,bottega,casa,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa"
bavi tomasini,magazzeno
bazoni,casa
beccari,"casa,casa,bottega,bottega, volta,bottega, volta"
beccaria,"bottega,bottega,bottega"
beccheri,"casa,casa"
bedena,casa
begna,"bottega,bottega, casa,casa,magazzeno"
begniacar,casa
bei,casa
belato,"casa,volta"
belegno,"casa,casa,bottega,bottega,bottega, pollaio,casa,bottega, casa,bottega, casa,casa,bottega, casa,casa"
belegno erizzo,"casa,casa,bottega"
beligo,casa
belilios,"casa,camera, casa"
belini,casa
bellata,casetta
bellato,"appartamento, casa"
bellatto,"appartamento, casa"
bellegno,"casa,casa,casa,casa,casa,casa,casa,casa,casa"
bellegrno,casa
belliani,casa
bellini,casa
bellotto,"casa,casa,casa,casetta,casetta,casa,casa,casa,casa,casa"
belogno,casetta
beloto,volta
belotto,"casa,casa,casa,casa, volta,bottega, volta"
beltrame donadi,casa
beltramin,"casa,casa,casa"
beltramin lugo,"bottega, casa"
beltramini,"casa,casetta"
bembo,"bottega, casa, magazzeno,casetta,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa, orto,casa,casa,casa,casa, forno,casetta,casetta,casa,casa,casetta,casetta,casa,casetta,casetta,casetta,casetta,casetta,casa,casa,casa,casa,casa,casetta,bottega,bottega, casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega,casa,magazzeno,casa,casa,casa,casa,casa,casa,casa,magazzeno,bottega, casa,casa,bottega,casa,bottega,bottega, casa,casa,casa,casa,casa,casa,volta,volta,casa,bottega, casa,casetta,bottega, magazzeno"
bembo bonbiasio,"casa,casa"
bembo corner,"casa,casa,casa,casa,casa,bottega,casetta"
bembo frattina,casa
bembo rombiasio,appartamento
bembo rompiasio,casa
bembo valier,bottega
benaggia,casa
benati,"casa,casa"
benci,"casa, corto,casa,casa,casa,casa,magazzeno,magazzeno,casa,casa, cavana,magazzeno,casa,casa,casa,casa,casa,casa,casa,casa,casa"
benedetti,"casa,casa,volta"
benetelli,casa
benetti,"casa,casa,casa,casa,magazzeno,magazzeno,magazzeno,magazzeno,magazzeno"
beni,"bottega, casa,bottega, casa"
benson,magazzeno
benussi,casa
benvenuti,"casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,bottega,bottega,casetta,magazzeno"
benvenuti spinelli,"appartamento, casa,appartamento, casa"
benzi,"bottega, casa"
benzon,"casa,casa,casa,bottega, casa,casa,magazzeno,bottega, casa,casa,casa,scuola,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casetta,casa,casa,volta,volta,volta,casa,bottega,bottega,bottega,casa,bottega, casa,bottega, casa"
berega,"bottega, casa"
beregan,casa
berengo,casa
bergamin,"bottega,bottega"
bergantin,"bottega, casa,bottega,bottega, volta,bottega, volta,bottega"
berici,"casa,casa"
berizzi,"bottega, casa,casa,casa,casa,casa,casa"
berlandi,bottega
berlendi,"casa,casa,casa,casa,casa,magazzeno,casa,casa,casa,casa"
berlendis,"casa,casa,casa,casa,casa,casa,casa, orto,casa,bottega,bottega,bottega,bottega,bottega,bottega,bottega, volta,bottega, volta"
berlendis de piccoli,casa
bernardi,"casa,casa,casa,casa,bottega, volta,bottega, casa,bottega, casa,casa,casa"
bernardi augusti,forno
bernardini,"casa,casa,casa,casa"
bernardo,"casa,casa,casa,casa,casetta,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casetta,casa,casa,casa,casa,casa,casa,casetta,casetta,casa,casa,bottega,casa,casa,casa,casa,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,bottega, casa,casa,bottega, casa,bottega, casa,casetta,casetta,casa,casetta,casetta,casetta,bottega,casa,casa,casa,casa,casa,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega,bottega,bottega,bottega, casa,bottega,casa"
bernardona,casa
bernati,"casa,casa,casa,casa,casa,casa,casa,casa,volta"
bertani,"bottega, casa"
bertarizini,casa
berti,magazzeno
bertin,casa
bertocco,bottega
bertoci,bottega
bertolini angeli,bottega
bertoni,"casa,bottega"
bertosi,casa
bertoti,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
bertotti,"magazzeno,bottega,bottega"
berttoni,casa
berzacina,casa
bettani,casa
betteni,"appartamento, casa,appartamento, casa,appartamento, casa,bottega, casa"
bettinelli,"casa,casa,casa,casa"
bettini,casa
bettoni,"casa,casa,casa,casa"
bettoni malipiero,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,volta"
bevilacqua,casa
bezzi,casa
biancato,casa
bianchi,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
bianchini,"casa,appartamento,appartamento,appartamento,appartamento,casa,casa,magazzeno,forno,casetta,casetta,casa,casa,casa, forno,bottega,casa, forno,casa"
bianconi,"casa, orto,casa,casa,casa"
bianconi tamagnin,"casa,casa"
biasi,casa
biasini,casa
bigerach,"bottega, casa"
binfadini,casa
binvicini,casa
biondi,"bottega,bottega,bottega,bottega,casa,casa,casa,casa,casa,casa,magazzeno,bottega, volta,bottega, casa,bottega,bottega,bottega, casa,bottega,appartamento, casa,appartamento, casa,bottega, casa,appartamento, casa,appartamento, casa,casa,casa,casa,casa,casa,casa,casa"
bisson,"bottega, casa"
blanchetton,casa
boara,casa
boarati,casa
bobdumier,"bottega, magazzeno"
boccacini,bottega
bocchi,casa
bodeni,"casa,casa"
bodesson,"casa,casa,casa,magazzeno,casa,appartamento,appartamento,casa,casa,casa,appartamento,appartamento"
bogagia,"bottega, casa"
bognulo malamoco,casa
bolani,"casa,casa,casetta,bottega,bottega,casa,casa,casa,casa,casa,casa,casetta,casa,casa,casa,casa,casa,magazzeno"
boldini,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
boldu,"bottega, casa,bottega, casa,bottega,casetta,casa,casa,casa,magazzeno,casa,bottega, casa,casa,magazzeno,bottega, casa, volta,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casa, casetta"
boldu capello,"bottega, casa"
boles,casa
bolini,"bottega, casa"
bolis,"casa,casetta,casetta,casetta,casetta,camera, casetta,casa,casetta"
bollani,"casa,casa,casa,casa,casa,casa,casa,appartamento, casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa, magazzeno,casa"
bolli,"casa,bottega, casa,casa"
bollini,"casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
bollini battagia,"bottega, casa"
bollis,"bottega, casa"
bombesi,casetta
bombeta,casa
bommartini,"bottega, casa"
bon,"casa,magazzeno,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,magazzeno,casa"
bon boni,casetta
bon licini,"casa,casa,casa,casa"
bona,"bottega, volta"
bona camis,bottega
bonacini,casa
bonadli,casa
bonali,"bottega, casa,casa,casa"
bonamin,"casa,casa,casa,magazzeno,casetta,casa,casetta,casa,casa,bottega"
bonanave,casa
bonaventura,"casa,casa"
bonbicini,"casa,casa"
bonbisini,"casa,casa,casa,casa,casa"
boncio,"magazzeno,casa,casa,casa,magazzeno,casa,appartamento, casa,bottega,stabile,bottega, casa,bottega,casa"
boncusen,bottega
boncusin,casa
bonduer,"casa,casa,casa"
bondulmer,casa
bondulmier,"casa,casetta,casa,casa,bottega, casa,bottega, casa,casa,casa,casa,casa,casa, casetta,bottega, casa"
bondumier,"casa,magazzeno,casa,bottega,casa,bottega, casa,bottega, casa,casa,bottega, casa"
boneri,bottega
bonfadin,"casa,casa"
bonfadini,"casa,casa,casa,casa,casa,casa,bottega, casa,casetta,casetta,casetta,casetta,casetta,casa,casetta,casetta,casa,bottega,casa,casa,casa,bottega,casa,casa,casetta,casa,casetta,casa,casa,casetta,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa, squero,casa,casa,casa,casa,bottega, casa,bottega, casa,casa,casa,casa"
bonfandin,"casa,casa,casa,casa,casa,casa, orto,casa,casa,bottega,bottega,casa"
bonfandini,"bottega, pollaio"
boni,"casa,casa,casa"
bonicelli,"casa,casa,bottega, casa,casa,casa,casa,casa"
bonini,"casetta,casetta,bottega, casa"
boniolli,"casa,casa,casa,casa,casa"
bonlin,"casa,casa"
bonlini,"casa,bottega, casa"
bono,casa
bonolli bianchini,"casa,casa"
bonomelli,"casa,casetta,casa,casa"
bonomo,"casetta, magazzeno,bottega, casa,magazzeno,casa,magazzeno"
bonotto,magazzeno
bontempo,"casa,casa,casa,casa,casa"
bontio,"casa,casa"
bonvicini,"bottega, casa,casa,casa,casa,casa,bottega, casa,casetta,casetta,casetta,casetta,casetta,casetta,casetta,casetta,casetta,casetta,casetta,casetta,bottega, casa,bottega, casa,bottega,casa,casa,casa,casa"
bonvin,"casa,casa"
bonzio,"casa,casa,casa,casa,bottega"
bordelon,casa
bordini,casa
bordu,"casa,casa"
borea,casa
borella,"casa,casetta,casa,casa"
borghesaleo,bottega
borin,"casa,casa,bottega"
bortoletti,"casa,casa,casa"
bortoloni,"bottega,bottega"
bortoloti,bottega
bortoloti baggio,"casa,casa"
bortolotti,"bottega,casa"
bortolotti raggio,casa
boschetti,casa
boschetti protti,casa
boschi,casa
boschiero,casa
bosello,"bottega, casa"
bosetti,"magazzeno,bottega, casa,casa"
bosio,"casa, orto,bottega, casa,casa"
bossello,"bottega, casa"
bottison,casa
bozza,casa
bozzato,"casa,casa,casa"
bracchi,"casa,casa,casa,casa"
bracci,"magazzeno,bottega"
bragadin,"casa,casa,casa,casa,casa,appartamento,appartamento,casa,casa,appartamento,appartamento,appartamento,appartamento,appartamento,casa,casa,bottega, camera,casa, forno,casa,casa,casa,casa,bottega,bottega,casa,casa,bottega,casa,casa,casa,casa,casa,casa,casa,magazzeno,magazzeno,bottega, casa,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casetta,bottega, casa,casetta,casetta,casetta,casa,casetta,casetta,casa,casa,casa,casetta,casetta,casetta,casa,bottega,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,magazzeno,casa,casa,casa,bottega, casa,bottega,bottega, casa,bottega, casa,bottega, casa,bottega, casa, magazzeno,bottega, casa, magazzeno,casa,casa,casa,casa,casa,casa,magazzeno,magazzeno,volta,bottega,bottega,magazzeno,casa,casa,casa,casa,casa,magazzeno,casa,casa"
bragesi,"casa, volta"
bragolin,"bottega,casa,casa"
bramezza,"bottega,casa,casa"
brani,casa
brasi,casa
brasino,casa
braveti,casa
bravetti,"casa,casa,casa,casa,casa"
bravi,"casa,bottega,bottega,bottega,bottega, casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,bottega, casa,bottega,casa,casa"
bravuto,casa
brazzi tomasini,"casa,casa, magazzeno"
bregantin,bottega
bregolin,appartamento
bresolata,"bottega, casa,magazzeno"
bresolin,casa
bressa,"bottega, casa,casa,bottega, casa,bottega,bottega, casa,casa,casa,bottega"
bressani,"casa,casetta"
brigo,casa
brigonzi,"casa,casa"
brisolin,"casa,casa"
brondel,"bottega, casa"
bronzarini,"casa,casa,casa"
bronzerini,"casa,casa"
brunacini,casa
brunati,casa
brunetti,"casa,casa"
bruni,"bottega, casa"
brusaborco zuliani,"bottega, casa"
brusco,"casa,bottega, casa,bottega,bottega"
brusi,"casa,casa,casa"
brussolata,"casa,casa"
bruzzi,"casa,casa,casa,casa,casa"
bruzzoni,"casa,casa,casa, corto,casa,casa"
bucelli,"magazzeno,casa,casa"
buelle,bottega
buffetti,"casa,appartamento, casa,appartamento, casa,magazzeno,magazzeno,bottega, casa,casa"
buffetti locatelli,"magazzeno,bottega, casa,bottega, casa"
bullo,casa
bullo d'andrea,bottega
bulo,"bottega,bottega,bottega,bottega,bottega"
busca,"bottega,bottega, casa"
busella,"casa,casa"
busichia,"bottega,bottega"
businello zanne,casa
businelo,casa
buttacalice,"casa,casa,magazzeno"
cabib,casa
cabibi,"casa,casa"
cachiopoli,"casa,casa,casa,casa"
cacia,magazzeno
cadorta,bottega
caena,casa
caenazzo,"casa,casa"
caffre,"bottega,bottega"
cafre,"casa,bottega, casa"
cagnato,casa
cagnolin,casa
caime,casa
caime collinoli,casa
caimi,"casa,casa"
caimo,casa
caimo lavesi,volta
calbo,"casa, giardino,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casetta,casa,casa,casa,casa,casa,casa,bottega, casa,appartamento, casa,appartamento, casa,casa,casa,appartamento, casa,appartamento, casa,bottega,bottega, casa,bottega, casa,bottega, casa,casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,casa,casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,appartamento, casa,casa,casa,bottega,casa"
calbo giovanelli,casa
calceti,"bottega, casa"
caldara,casa
caldara corner,casa
calderani,"casa, casetta"
calderari,"casa,casa,casa"
calderuzza,casa
calegari,"bottega,bottega, casa,casa,casa,casa,casa,casa,volta,bottega,bottega,bottega,bottega, casa,bottega, volta,casa,casetta"
caliari,"casetta,casetta,casetta,casa,bottega,casa,casa,bottega, casa,casa,casa"
calichiopoli,"casa,casa,casa,casa,casa,casa,casa,casa,casa,terreno,bottega, casa"
calichiopolo,"casa,casa,casa"
callegari,"bottega, casa,casetta,casa,casa,casa"
calliari,"casa,casa,casa,casa"
callichiopi,casetta
callichiopo,casa
callichiopoli,"magazzeno,bottega,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa"
callichiopolli,"bottega, casa"
calogera sanzonio,casa
calore,casa
caltai,"bottega, casa, magazzeno"
calvi,"casa, orto,casa,casa,magazzeno,casa,casa,casa,casa,casa,bottega, casa, tagliapietra,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,casa,magazzeno,bottega,magazzeno,bottega, casa,bottega,bottega,bottega"
calvo,casa
calvo giovanelli,casetta
calzetta,"casa,casa"
calzutti,casa
