owner_family_name,building_functions
albrizzi,"['casa', 'bottega', ' casa', 'bottega', 'bottega', 'casa', ' magazzeno', 'casa', 'casa', 'casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa', ' magazzeno', 'casa', 'casa', 'corto', ' sottoportico', 'corto', ' sottoportico', 'corto', ' sottoportico', 'corto', ' sottoportico', 'bottega', ' casa', ' corto', 'casa', ' corto', 'casa', ' corto', 'casa', ' corto', 'casa', 'andito', 'casa', 'casa', ' corto', 'corto', ' sottoportico', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', 'bottega', 'bottega', 'bottega', 'bottega', 'bottega', 'bottega', ' casa', 'bottega', ' casa', ' luogo', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'bottega', ' casa', ' corto', 'magazzeno', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'bottega', ' casa', 'bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'casa', ' corto', 'casa', ' corto', 'bottega', ' casa', 'bottega']"
albrizzi baglioni,"['casa', ' corto', 'casa', ' corto']"
albrizzi bagolino,['bottega']
alcaini,"['casa', 'casa', ' corto', 'casa', ' corto', 'casa']"
alemani,['casa']
alessandri,"['casa', 'casa', 'casa']"
alessandrini,"['casa', 'casa']"
alessio,"['bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'sottoportico']"
alghisi,"['casa', 'casa']"
alibrante,"['casa', 'casa']"
aliprandi,"['casa', 'bottega', ' casa', ' corto', 'casa']"
allegrini,"['casa', 'bottega', ' magazzeno', 'casa', 'casa']"
almeda,"['casa', ' corto', 'casa', 'casa', 'casa']"
almeda levi,"['casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa']"
almerigo,"['bottega', ' casa']"
alozzi,['casa']
alpron,"['casa', 'casa', 'casa', 'casa', 'casa', 'corto', ' sottoportico', 'appartamento', 'casa']"
altana,"['casa', 'bottega', ' casa']"
ama dio,"['bottega', ' volta']"
amadei,['casa']
amalteo,['andito']
amati,"['bottega', ' casa']"
amati rota,['bottega']
ambrosi,"['casa', 'casa', 'casa', 'casa', 'casa']"
ambrosi loris,"['casa', 'casa', 'bottega', ' casa']"
ambrosi milesi,"['casa', 'bottega', ' casa']"
amorosi,['casa']
ancillo,"['casa', ' corto', 'magazzeno', 'casa', 'bottega', ' casa']"
ancilotto,['magazzeno']
andreato,['casa']
andreghetti,"['casa', 'casa', 'casa', 'casa']"
andreola,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
andreoleti,"['casa', 'casa']"
andrigheti,"['casa', ' magazzeno', 'casa', 'casa', 'casa']"
andrighetti,"['casa', 'casa', 'casa', ' magazzeno', 'casa', 'bottega', ' camera', 'bottega', ' casa', 'casa']"
andrioli,"['bottega', ' casa', 'casa']"
andriuzzi,"['bottega', ' casa', ' corto', ' magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'casa', ' corto', 'casa', ' corto', 'bottega', 'bottega']"
andrusiana,"['bottega', ' casa', ' forno', 'andito']"
angaran,"['casa', 'bottega', ' casa', 'magazzeno', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'andito', ' corto', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno']"
angarani,['casa']
angeli,"['casa', 'casa', 'casa', 'casa', 'area', ' scalla', 'locale', 'casa', ' locanda', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'bottega']"
angeli beltramelli,['bottega']
angelini,"['casa', 'casa', 'corto', ' sottoportico']"
angeloni,"['casa', 'casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa']"
angonia fereti,"['casa', 'casa', 'casa']"
anselmi,"['casa', 'bottega', ' casa', 'casa', 'bottega', 'bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
ansoissio,"['casa', 'casa']"
ansorsio,"['bottega', ' casa']"
antelmi cigureo,"['bottega', ' volta']"
antelmi orio,"['casa', 'casa']"
antipa,"['casa', 'casa', 'casa', ' corto']"
antonelli,"['casa', ' corto', 'casa', 'casa', 'casa', ' magazzeno', 'bottega', 'bottega']"
antoneti nadalini,"['bottega', ' stanza']"
antoni,"['casa', ' magazzeno']"
antoniassi,"['casa', ' corto', 'andito']"
antoniassi diodato,"['casa', 'casa']"
antoniazzi diodato,['casa']
antonini,"['casa', 'casa', ' magazzeno']"
anziati,"['casa', 'casa', 'casa', 'casa']"
apollonio,"['corto', ' magazzeno']"
appoloni,"['bottega', ' casa', 'casa']"
appostoli,"['bottega', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'casa', ' corto']"
aprile,"['casa', 'casa']"
aquisti,"['casa', 'casa']"
aragoni,"['casa', 'casa', 'casa']"
archetti,"['casa', 'casa', 'bottega', ' casa', 'casa']"
arigoni,"['casa', 'casa', 'casa']"
arigonii,"['casa', ' corto']"
armacor,"['bottega', ' casa']"
armani,"['bottega', 'casa', 'casa']"
armano,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
armati,"['bottega', 'bottega', ' casa', 'casa', 'bottega', 'casa', 'casa', 'magazzeno', 'casa', 'bottega', 'casa']"
armati zanchi,"['bottega', ' casa', ' corto', 'casa']"
arme,"['bottega', ' casa']"
armelini,"['casa', 'casa']"
arnaldi,"['casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'casa', ' corto', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'bottega', ' casa', 'casa', ' osteria']"
aron,"['casa', 'casa', 'casa', ' corto', 'casa']"
arrigoni,"['casa', ' corto', 'bottega', ' casa', ' corto', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'orto', 'magazzeno', 'casa', 'casa', 'casa', 'palazzo', 'casa', 'casa', ' corto', ' magazzeno', ' vendivino', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa']"
artelli,['casa']
artemisi,['casa']
artiga,['casa']
asprea,"['casa', 'casa']"
astasio,"['casa', ' corto']"
astori,"['bottega', 'bottega', ' casa', 'casa', ' corto', 'casa', ' corto', 'casa', 'casa', ' corto', 'casa', 'casa', ' corto', 'casa', 'bottega', ' casa', 'bottega', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'corto', ' sottoportico', 'magazzeno', 'casa', 'magazzeno', 'casa', 'casa', ' corto', 'casa', 'casa']"
astori cabrini,['bottega']
attimis,"['casa', 'casa', 'casa']"
avanzeti,['casa']
avanzetti,"['bottega', ' casa', 'casa']"
avanzi,"['casa', 'casa', 'casa']"
avanzini,"['casa', ' corto', 'casa', ' corto']"
avanzo,"['casa', 'casa', 'casa', ' corto']"
averoldi,['casa']
avogado,['bottega']
avogadro,"['bottega', ' casa']"
avvanzetti,"['magazzeno', 'magazzeno', 'casa', ' corto', 'casa', ' corto', 'casa', ' corto', ' magazzeno', 'casa', ' corto', ' magazzeno']"
azamar,"['bottega', 'bottega', ' volta']"
azeman,['bottega']
azemarel,['bottega']
azeo,"['casa', ' corto', 'casa', ' corto']"
azzi,"['casa', ' corto', 'casa']"
azzo rota badoer,"['bottega', ' casa']"
azzo rota costantini,"['bottega', ' casa']"
azzo rota sette,"['bottega', ' casa']"
azzo rotu' costantini,"['casa', ' corto', 'casa', 'casa']"
azzoni,['casa']
bacanello,"['bottega', 'bottega', ' casa', ' corto', 'magazzeno', 'casa']"
baccanello,['bottega']
bacchi,"['appartamento', 'casa', 'magazzeno', 'casa', 'casa', 'casa', 'casa', ' magazzeno', 'casa', 'casa', 'bottega']"
baccolo,"['bottega', ' casa', ' corto']"
bachi,"['casa', 'casa', 'casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa']"
bada,"['bottega', ' casa']"
badetta,['palazzo']
badoer,"['bottega', ' casa', 'casa', ' corto', ' magazzeno', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'casa', 'casa', 'casa', ' corto', 'magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', ' magazzeno', 'casa', 'casa', 'bottega', ' casa', 'magazzeno', 'bottega', ' casa', ' magazzeno', 'casa', ' corto', ' forno', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'andito', ' casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno', 'casa', 'bottega', 'bottega', ' casa']"
badoer barbaro,"['casa', 'casa', 'casa']"
badover,['casa']
baffini,"['casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa']"
bagagia,"['bottega', ' casa', ' corto', 'bottega', ' casa', ' corto']"
bagaglia,"['casa', 'casa']"
bagatella,['casa']
baglioni,"['casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'magazzeno', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' volta', 'bottega', ' casa', 'casa', 'casa', ' magazzeno', 'casa', ' magazzeno', 'casa', 'casa', ' magazzeno', 'bottega', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto']"
bagolin,"['casa', 'casa', 'casa']"
bagotto,"['casa', 'casa', 'casa']"
bagozzi macacari,"['casa', 'casa', 'casa']"
bai,['casa']
balandan,"['casa', 'casa']"
balbi,"['bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'bottega', 'bottega', ' corto', 'bottega', ' casa', 'bottega', ' casa', ' corto', ' magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'casa', ' magazzeno', 'bottega', 'casa', 'bottega', 'casa', 'bottega', ' casa', 'bottega', ' casa', ' corto', 'bottega', ' casa', ' corto', 'bottega', ' casa', ' corto', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', ' corto', ' magazzeno', 'casa', ' corto', ' magazzeno', 'bottega', 'bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'luogo', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' scalla', 'casa', 'casa', 'casa', 'magazzeno', 'bottega', ' casa', 'bottega', 'casa', 'casa', 'casa', ' corto', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', ' corto', 'magazzeno', 'magazzeno', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'area', ' casa', 'bottega', ' casa', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'bottega', 'casa', 'appartamento', 'casa', 'bottega', 'bottega', 'bottega', 'magazzeno', 'casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'bottega', ' casa', ' magazzeno', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'bottega', 'bottega', 'bottega', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno', ' stanza', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
balbi angaran,"['casa', 'casa', 'casa', 'bottega', ' casa', 'casa', ' corto', 'casa']"
balbi barbarigo,['bottega']
balbi canal,['bottega']
balbi mosca,['bottega']
balbi tasca,['casa']
balbi valier,"['casa', 'bottega', ' casa', 'casa']"
balci,['magazzeno']
baldan,['casa']
baldi,"['bottega', ' casa', 'casa']"
baldini,['magazzeno']
baldovini,['casa']
balevin,"['casa', ' corto', 'casa', 'casa']"
balico,"['casa', 'casa', 'casa', 'casa']"
ballarin,"['bottega', ' casa']"
ballarini,"['casa', 'casa', ' corto', 'casa', ' corto']"
ballotta,['casa']
balzi,"['casa', ' corto', 'casa', ' corto']"
balzzi,"['casa', 'casa']"
banchieri,"['casa', ' corto', 'casa', ' corto']"
bandiera,['casa']
bane,"['casa', 'casa', 'casa']"
bannoni,"['bottega', ' caffe', ' locale']"
bao,"['casa', 'bottega']"
barachi,"['casa', 'magazzeno', 'casa', ' magazzeno']"
baraiter,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
barati,['bottega']
barazzutti,"['casa', ' corto']"
barbaran,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
barbaria,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
barbarigo,"['bottega', 'bottega', ' volta', 'casa', 'casa', ' corto', 'bottega', 'casa', 'casa', 'bottega', ' casa', 'andito', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' magazzeno', 'casa', 'bottega', ' casa', ' corto', ' luogo', 'bottega', ' casa', ' corto', ' luogo', 'casa', 'bottega', ' casa', 'bottega', ' volta', 'casa', 'bottega', 'casa', 'casa', 'casa', 'casa', 'corto', ' magazzeno', 'casa', 'casa', ' magazzeno', 'casa', ' magazzeno', 'magazzeno', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'bottega', ' casa']"
barbarigo de simoni,"['casa', 'casa', ' corto', 'casa', ' corto']"
barbarigo muja,['bottega']
barbaro,"['bottega', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', ' corto', 'casa', 'casa', 'bottega', ' casa', 'magazzeno', 'casa', 'bottega', ' casa', ' corto', 'casa', 'casa', 'bottega', ' casa', ' corto', ' magazzeno', 'bottega', ' casa', ' corto', ' magazzeno', 'casa', 'casa', ' corto', ' magazzeno', 'casa', ' corto', ' magazzeno', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', ' corto', 'bottega', ' casa', 'bottega', ' casa', ' corto', 'corto', ' magazzeno', 'casa', 'casa', 'magazzeno', 'bottega', 'bottega', ' casa', ' corto', 'casa', ' corto', 'bottega', ' casa', 'casa', 'casa', ' corto', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', ' magazzeno', 'andito', 'casa', 'casa', 'casa', 'magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' corto', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno', 'magazzeno', 'magazzeno', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'bottega', 'bottega']"
barbaro battaggia,['magazzeno']
barberi,"['bottega', ' volta']"
barbetta,"['casa', 'casa', 'casetta']"
barbieri,"['casa', 'bottega', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', ' corto', 'casa', ' corto']"
barbieri morosini,"['casa', 'casa', 'casa']"
barbieri salis,"['casa', 'casa', ' corto']"
barcegnan seriman,"['casa', 'casa', 'casa']"
barcella,"['casa', ' osteria']"
barcelli,"['casa', 'casa']"
bardese,"['casa', ' corto', 'casa', 'magazzeno']"
bardini,"['casa', 'casa']"
barella,['casa']
barella seriman,['casa']
barena,"['casa', 'casa', 'casa']"
barenghe,['casa']
barenghi,['casa']
baretini,['bottega']
baretta,['casa']
barichi,"['casa', 'casa']"
barili,"['casa', 'casa', ' corto', 'casa', ' corto']"
baroncelli,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno']"
baroncelli ferraresi,['bottega']
baroncello,"['casa', ' corto', 'casa', ' corto']"
baronelli,"['bottega', ' casa']"
baroni,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'palazzo', 'casa']"
barozzi,"['bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'bottega', ' casa', 'casa']"
barozzi cappello,['bottega']
barsella,"['casa', 'casa', ' corto']"
bartolini,"['bottega', ' casa']"
barziza,"['casa', ' corto', 'casa', ' corto', 'casa', 'casa']"
barziza berlendis,"['casa', 'casa', 'casa']"
barzizza,"['casa', 'casa', 'bottega', 'bottega', 'bottega']"
basadonna marcello,"['casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa']"
baseggio,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', ' magazzeno', 'casa', 'andito', 'casa', 'andito', 'casa', 'magazzeno', 'casa', ' corto', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
basegio,"['bottega', 'casa', 'bottega', ' casa']"
basi pratarol,"['bottega', ' volta']"
basida,"['casa', 'casa']"
basido,"['bottega', ' casa', ' corto']"
basiglio,"['bottega', ' casa', ' corto', 'bottega', ' casa', 'bottega', ' casa', ' magazzeno']"
basiglio camozzi,"['bottega', ' casa', ' corto', 'bottega', ' casa']"
basili,['casa']
basilico',['casa']
bassagia,"['casa', ' corto', 'casa', 'casa']"
bassaglia,"['casa', ' corto']"
bassan,"['casa', 'casa', ' corto']"
bassi,"['casa', 'casa']"
bassinello,"['magazzeno', 'magazzeno', 'magazzeno', 'magazzeno']"
basso,"['casa', 'casa']"
bastesini,"['casa', 'andito', 'casa', ' corto', 'casa', ' corto']"
baston,['casa']
bataggia belloni morosini,['bottega']
batagia,"['casa', 'casa']"
bataglia,"['bottega', ' casa', 'casa', 'casa']"
bataja,"['bottega', ' casa']"
batistiol,"['casa', 'casa']"
battaggia belloni,['bottega']
battaggia belloni morosini,['bottega']
battaggia morosini,"['bottega', ' casa']"
battagia,"['casa', ' corto', 'casa', ' corto', 'bottega', ' casa', 'magazzeno', 'magazzeno', 'casa', 'corto', ' magazzeno', 'corto', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'magazzeno', 'palazzo', 'corto', ' palazzo', 'casa', 'casa']"
battagia beloni,"['casa', ' corto']"
battaglia,"['casa', 'casa', 'casa', 'magazzeno', 'casa', ' corto', 'casa', ' corto', ' magazzeno', 'casa', ' corto', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'corto', ' magazzeno', 'casa', 'casa', 'casa', ' corto', 'locale', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa']"
battaglia beloni morosini,"['casa', 'casa', 'casa']"
battaglia bettoni morosini,"['casa', 'casa', 'casa', 'bottega', ' casa']"
battella,['casa']
battifoglia,['casa']
battisti,['casa']
battistini,"['bottega', ' casa']"
battistiol,"['casa', 'casa', 'bottega', ' casa']"
bavella,"['casa', 'casa']"
becher,['magazzeno']
bedeschi,"['casa', ' magazzeno', 'casa', 'casa', 'casa', 'casa', 'bottega']"
bedeschi capellan,['casa']
bedin,['casa']
begnia,['casa']
belfi,['casa']
bellati,"['casa', ' corto', 'bottega', ' stanza']"
bellato,"['casa', 'casa', 'casa', ' magazzeno', 'casa', ' magazzeno', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'magazzeno', 'magazzeno']"
bellavita,"['casa', 'casa', 'casa']"
bellavita todesco,"['casa', 'casa']"
bellemo,['casa']
belletata,['casa']
belli,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega']"
bellini,['casa']
belloni,['casa']
belloni battaglia,"['casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'casa', 'bottega', ' casa']"
belloto,['casa']
beloti,"['casa', 'casa']"
beloto,['casa']
belotti,"['casa', 'casa', 'casa']"
beltrame,['casa']
beltramelli,"['casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'appartamento']"
beluvich,"['bottega', ' casa']"
beluzzi,['casa']
bembo,"['casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', 'magazzeno', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', ' corto', 'corto', ' sottoportico', 'casa', 'casa', ' corto', 'casa', 'casa', ' corto', 'casa', 'casotto', 'casotto', 'casa', 'andito', 'appartamento', ' bottega', ' casa', ' corto', ' magazzeno', 'appartamento', ' bottega', ' casa', ' corto', ' magazzeno', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'casa', 'casa', 'bottega', ' casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'casa', 'magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', ' corto', 'casa', ' corto', 'casa', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', 'bottega', ' casa']"
bembo boldù,"['casa', 'casa', ' corto']"
bembo de medici,"['casa', 'casa', 'casa', 'casa', 'casa', 'bottega', ' casa', ' corto', 'bottega', ' casa', ' corto']"
bembo valier,"['bottega', ' casa', 'bottega', 'bottega', 'casetta', 'casa', 'casa', 'casa']"
bendussi,"['casa', 'casa', 'andito', 'andito', 'casa', 'casa']"
beneco,"['casa', 'casa', 'casa', 'casa', 'casa', 'casa']"
benedetti,"['casa', ' corto', 'casa', 'bottega']"
benedetti pomoni,['casa']
benetasso,['casa']
beneti,"['casa', 'casa']"
benetti,"['bottega', ' casa']"
beni,"['casa', 'casa']"
benici,['bottega']
benotti,['casa']
bensi zecchini,"['casa', 'casa']"
bentivoglio,"['casa', 'casa', 'casa', 'casa']"
bentivoglio venier,"['casa', 'casa', 'casa', 'casa', 'casa']"
benvenuti,"['casa', 'casa']"
benzi zecchini,"['casa', 'casa', 'casa', ' corto', 'palazzo', 'palazzo']"
benzon,"['bottega', ' casa', ' corto', 'bottega', ' casa', 'bottega', ' casa', 'casa', 'bottega', ' casa', 'bottega', ' casa', 'casa', ' corto', 'bottega', 'casa', ' corto', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'casa', 'magazzeno']"
benzoni,"['casa', 'casa', 'casa']"
berabo,['casa']
berco,"['casa', ' corto']"
beregan,"['bottega', ' casa', 'magazzeno', 'casa', 'casa', 'casa', 'casa', 'casa']"
berengo,"['casa', 'casa', ' magazzeno', 'casa', ' magazzeno', 'casa', ' magazzeno', 'casa']"
bereta,"['casa', ' corto']"
beretello,['casa']
berganti,['bottega']
berlendia berchet,['casa']
