question,type,answer_type,n_matches,entity,entity_matches,n_matches_predict,match_acc
Did certain professions exhibit higher rates of relocation compared to others from 1740 to 1808?,comparison_geolocation,entity_name,0,"[('professions', 'Owner_Profession', 1)]","[{'professions': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['medico', 'illustrissimo medico', 'dottor']}}]",1,False
Is there a correlation between the rent price in 1740 and the distance moved by families by 1808?,comparison_geolocation,yes/no,0,[],[],0,True
Are there any notable patterns in the professions of families that remained in Venice from 1740 to 1808?,comparison_geolocation,,0,"[('families', 'Owner_Family_Name', 1), ('professions', 'Owner_Profession', 1), ('Venice', 'Location', 1)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'professions': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Profession', 'matches': ['medico', 'illustrissimo medico', 'dottor']}}, {'venice': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['calle veneziana']}}]",3,False
How many families expanded their property holdings from 1740 to 1808?,comparison_geolocation,numerical,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}]",2,False
How many families relocated their properties closer to or further from squares from 1740 to 1808?,comparison_geolocation,numerical,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2), ('squares', 'Landmark_Type', 3)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",3,False
What is the average distance between family properties and the nearest church or square in 1740 compared to 1808?,comparison_geolocation,numerical,2,"[('family', 'Owner_Family_Name', 1), ('family', 'Owner_Family_Name', 2), ('church', 'Landmark_Type', 3), ('square', 'Landmark_Type', 3)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['casalari']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['church']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}]",4,False
How did the density of family properties around central squares change from 1740 to 1808?,comparison_geolocation,numerical,2,"[('family', 'Owner_Family_Name', 1), ('family', 'Owner_Family_Name', 2)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['casalari']}}]",2,True
How many families present in Venice in 1740 still exist in the 1808?,comparison_ownership,numerical,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2), ('Venice', 'Location', 1), ('Venice', 'Parish', 1)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}, {'venice': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['calle veneziana']}}]",3,False
Which family increased the number of properties they owned the most from 1740 to 1808?,comparison_ownership,entity_name,0,"[('family', 'Owner_Family_Name', 1), ('family', 'Owner_Family_Name', 2)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['casalari']}}]",2,False
How many building shift from residential to commercial use between 1740 and 1808?,comparison_ownership,numerical,2,"[('buildings', 'Building_Functions', 1), ('buildings', 'Building_Functions', 2), ('residential', 'Building_Functions', 1)]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['casa, portico', 'calle', 'appartamento, scala']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'Building_Functions', 'matches': ['calle, portico']}}, {'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['appartamento', 'appartamento, casa']}}]",3,False
How many families retained the same profession (as indicated by building functions) across the two time periods from 1740 to 1808?,comparison_ownership,numerical,0,"[('families', 'Owner_Profession', 1), ('families', 'Building_Functions', 2)]",[],0,True
Can we identify any patterns of inheritance or succession among families who maintained property ownership from 1740 to 1808?,comparison_ownership,,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}]",2,False
How many new families appear in Venice in 1808 that were not present in 1740?,comparison_ownership,numerical,0,"[('new families', 'Tenant_Name', 1), ('Venice', 'Location', 1), ('Venice', 'Location', 2), ('Venice', 'Landmark_Name', 3)]","[{'new families': {'dataset': 'data/buildings_1740.csv', 'column': 'Tenant_Name', 'matches': ['giovanni maria fattori', 'don bortolo zio e nipoti novelli']}}, {'venice': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['calle veneziana']}}, {'venice': {'dataset': 'data/buildings_1808.csv', 'column': 'Location', 'matches': ['calle veneziana']}}, {'venice': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Name', 'matches': ['la maddalena']}}]",4,False
Is there any decrease in the number of properties held by a family on average from 1740 to 1808?,comparison_ownership,yes/no,0,"[('family', 'Owner_Family_Name', 1), ('family', 'Owner_Family_Name', 2), ('properties', 'Building_Functions_Count', 1), ('properties', 'Building_Area', 2)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['casalari']}}]",2,False
Are there any families who moved closer to or further away from the churches in general from 1740 to 1808?,comparison_ownership,entity_name,1,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2), ('churches', 'Landmark_Type', 3)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['church']}}]",3,False
"How many families who owned properties in both 1740 and 1808 changed the type of buildings they owned, such as from residential to commercial?",comparison_ownership,numerical,2,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}]",2,True
Did any families transition from being tenants in 1740 to property owners in 1808?,comparison_ownership,entity_name,0,"[('families', 'Owner_Family_Name', 1), ('families', 'Owner_Family_Name', 2), ('tenants', 'Tenant_Name', 1)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi']}}, {'tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'Tenant_Name', 'matches': ['domenego sala']}}]",3,False
Have the squares for commercial hubs changed from 1740 to 1808?,comparison_functions,yes/no,3,"[('squares', 'Landmark_Type', 3), ('commercial hubs', 'Building_Functions', 1), ('commercial hubs', 'Building_Functions', 2)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}, {'commercial hubs': {'dataset': 'data/buildings_1808.csv', 'column': 'Building_Functions', 'matches': ['fabbrica, locale']}}]",2,False
"Where are the houses densely located in both 1740 and 1808, and how has this changed?",comparison_functions,entity_name,0,"[('houses', 'Location', 1), ('houses', 'District', 2)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['case vecchie', 'case nuove', 'casa con molte affittanze']}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'District', 'matches': ['castello']}}]",2,False
"Are smaller buildings, in terms of area, specifically clustered in certain areas in 1808 compared to the locations of low-rent properties in 1740?",comparison_functions,yes/no,0,"[('smaller buildings', 'Building_Area', 2), ('certain areas', 'Location', 1), ('certain areas', 'Parish', 1), ('low-rent properties', 'Rent_Price', 1)]","[{'certain areas': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['campo']}}, {'certain areas': {'dataset': 'data/buildings_1740.csv', 'column': 'Parish', 'matches': ['san baseggio']}}]",2,False
How many buildings are located within 50 meters of a church in 1808 compared to 1740?,comparison_functions,numerical,0,"[('church', 'Landmark_Type', 3), ('buildings', 'Location', 1), ('buildings', 'Parish', 1), ('buildings', 'Location', 2), ('buildings', 'District', 2)]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['church']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['fondamenta in callesella', 'fondamenta calleselle', 'calle di castello', 'in facciata alla calle delle 2 scale e campiel de visentini', 'calle della torre']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'Location', 'matches': ['calle delle case rote']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'District', 'matches': ['castello']}}]",4,False
"On average, how much larger are the buildings near the squares in 1808 compared to those further away, and how does this compare to rent price differences in 1740?",comparison_functions,numerical,0,"[('squares', 'Landmark_Type', 3), ('buildings', 'Building_Functions', 1), ('buildings', 'Location', 1), ('buildings', 'Building_Functions', 2), ('buildings', 'Location', 2)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['casa, portico', 'calle', 'appartamento, scala']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['fondamenta in callesella', 'fondamenta calleselle', 'calle di castello', 'in facciata alla calle delle 2 scale e campiel de visentini', 'calle della torre']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'Building_Functions', 'matches': ['calle, portico']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'Location', 'matches': ['calle delle case rote']}}]",5,False
How many properties are located around the square of San Marco in 1808 compared to 1740?,comparison_functions,numerical,2,"[('San Marco', 'Landmark_Name', 3), ('Location', None, 1), ('Location', None, 2)]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Name', 'matches': ['piazza san marco']}}]",1,False
Are there any spatial clusters of large buildings in 1808 compared to high-rent properties in 1740?,comparison_functions,entity_name,0,"[('large', 'Building_Area', 2), ('high-rent', 'Rent_Price', 1)]","[{'large': {'dataset': 'data/buildings_1808.csv', 'column': 'Building_Area', 'matches': ['22.187']}}]",1,False
Are different families widely spread across the city or closely situated in certain neighborhoods in both 1740 and 1808?,comparison_functions,entity_name,0,"[('families', 'Owner_Family_Name', 1)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'Owner_Family_Name', 'matches': ['falier', 'milesi', 'miles']}}]",1,False
What are the names of the most densely populated squares in both 1740 to 1808?,comparison_functions,entity_name,1,"[('squares', 'Landmark_Type', 3), ('both', 'Location', 1), ('both', 'District', 2)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['square']}}, {'both': {'dataset': 'data/buildings_1740.csv', 'column': 'Location', 'matches': ['alli due pozzi']}}]",2,False
What type of buildings have been moved further away from or closer to the churches from 1740 to 1808?,comparison_functions,entity_name,0,"[('churches', 'Landmark_Type', 3), ('buildings', 'Building_Functions', 1), ('buildings', 'Building_Functions', 2)]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'Landmark_Type', 'matches': ['church']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'Building_Functions', 'matches': ['casa, portico', 'calle', 'appartamento, scala']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'Building_Functions', 'matches': ['calle, portico']}}]",3,False
